counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,775,1499,1028.6666666666667,28,12,295,4999.01,423.2441999999999,332,150,65.92596641203704,1582,38.032366921296294,913,468.09030864197535,162
1,775,1499,1028.6666666666667,28,12,295,4999.01,423.2442,332,150,65.93096483796296,1582,38.02736849537037,913,468.09030864197524,162
2,775,1499,1028.6666666666667,28,12,295,4999.01,423.2442,332,150,65.93114642361111,1582,38.027186909722225,913,468.09030864197524,162
3,775,1499,1028.6666666666667,28,12,295,4999.01,423.2441999999999,332,150,65.93307299768519,1582,38.02526033564815,913,468.0903086419752,162
4,775,1499,1028.6666666666667,28,12,295,4999.01,423.2442,332,150,65.93457003472223,1582,38.02376329861111,913,468.09030864197535,162
5,775,1499,1028.6666666666667,28,12,295,4999.01,423.2442,332,150,65.93459328703703,1582,38.0237400462963,913,468.09030864197535,162
6,775,1499,1028.6666666666667,28,12,295,4999.01,423.2442,332,150,65.9346404050926,1582,38.02369292824074,913,468.09030864197535,162
7,775,1499,1028.6666666666667,28,12,295,4999.01,423.2442,332,150,65.93468789351851,1582,38.023645439814814,913,468.09030864197535,162
8,775,1499,1028.6666666666667,28,12,295,4999.01,423.2442,332,150,65.93472675925926,1582,38.02360657407407,913,468.09030864197535,162
9,775,1499,1028.6666666666667,28,12,295,4999.01,423.2442,332,150,65.93519193287037,1582,38.02314140046296,913,468.09030864197535,162
10,775,1499,1028.6666666666667,28,12,295,4999.01,423.2442,332,150,65.9356569212963,1582,38.022676412037036,913,468.09030864197535,162
11,775,1499,1028.6666666666667,28,12,295,4999.01,423.2442,332,150,65.93612171296296,1582,38.02221162037037,913,468.09030864197535,162
12,775,1499,1028.6666666666667,28,12,295,4999.01,423.2442,332,150,65.93658118055555,1582,38.02175215277778,913,468.09030864197535,162
13,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052631,335,152,66.48670744212963,1596,37.4716258912037,899,469.90151515151507,165
13,435,10000,616.1606528189914,1068,337,1025.1,1999,1244.2639130434782,90,23,66.48670719907408,1596,37.47162613425926,899,656.2894722222225,360
14,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052631,335,152,66.4879735763889,1596,37.47035975694445,899,469.90151515151507,165
14,435,10000,616.1606528189914,1068,337,1025.1,1999,1244.2639130434782,90,23,66.48797369212963,1596,37.47035964120371,899,656.2894722222225,360
14,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052631,335,152,66.48797449074074,1596,37.470358842592596,899,469.90151515151507,165
14,435,10000,616.1606528189914,1068,337,1025.1,1999,1244.2639130434782,90,23,66.48797457175925,1596,37.470358761574076,899,656.2894722222225,360
15,435,10000,615.6660946745565,1069,338,1025.1,1999,1244.2639130434782,90,23,66.48802606481482,1596,37.47030726851852,899,655.7152631578949,361
15,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052631,335,152,66.48802599537036,1596,37.470307337962964,899,469.90151515151507,165
16,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052631,335,152,66.48806302083334,1596,37.4702703125,899,469.90151515151507,165
16,435,10000,615.6660946745565,1069,338,1025.1,1999,1244.2639130434782,90,23,66.48808103009259,1596,37.47025230324074,899,655.7152631578949,361
16,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052631,335,152,66.48808658564815,1596,37.47024674768519,899,469.90151515151507,165
16,435,10000,615.6660946745565,1069,338,1025.1,1999,1244.2639130434782,90,23,66.4880946875,1596,37.470238645833334,899,655.7152631578949,361
17,435,10000,615.6660946745565,1069,338,1025.1,1999,1244.2639130434782,90,23,66.48813106481481,1596,37.47020226851852,899,655.7152631578949,361
17,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052631,335,152,66.48813104166666,1596,37.470202291666666,899,469.90151515151507,165
19,435,10000,615.6660946745565,1069,338,1025.1,1999,1244.2639130434782,90,23,66.48918914351852,1596,37.46914418981481,899,655.7152631578949,361
19,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052631,335,152,66.48920804398148,1596,37.46912528935185,899,469.90151515151507,165
20,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052632,335,152,66.49048930555556,1596,37.46784402777778,899,469.9015151515151,165
21,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052632,335,152,66.49241085648148,1596,37.46592247685185,899,469.9015151515151,165
22,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052632,335,152,66.49258371527777,1596,37.465749618055554,899,469.9015151515151,165
23,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052632,335,152,66.4927772800926,1596,37.46555605324074,899,469.9015151515151,165
24,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052632,335,152,66.49384966435186,1596,37.46448366898148,899,469.9015151515151,165
25,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052632,335,152,66.49802427083333,1596,37.4603090625,899,469.90151515151507,165
26,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052631,335,152,66.50219037037037,1596,37.456142962962964,899,469.9015151515151,165
27,775,1499,1034.1538461538462,30,13,295,4999.01,421.6430921052632,335,152,66.51063359953703,1596,37.4476997337963,899,469.9015151515151,165
28,820,1499,1079,28,11,295,4999.01,419.8060897435897,340,156,66.68927564814815,1601,37.26905768518519,894,463.2260479041916,167
33,820,1499,1079,28,11,295,4999.01,419.8060897435897,340,156,66.69451210648148,1601,37.26382122685185,894,463.22604790419155,167
34,820,1499,1079,28,11,295,4999.01,419.8060897435897,340,156,66.69666163194445,1601,37.26167170138889,894,463.2260479041916,167
35,820,1499,1079,28,11,295,4999.01,419.8060897435897,340,156,66.70083446759259,1601,37.25749886574074,894,463.2260479041916,167
36,820,1499,1079,28,11,295,4999.01,419.8060897435897,340,156,66.70499982638889,1601,37.25333350694444,894,463.22604790419155,167
37,820,1499,1079,28,11,295,4999.01,419.8060897435898,340,156,66.70916141203703,1601,37.249171921296295,894,463.2260479041916,167
39,820,1499,1079,28,11,295,4999.01,419.8060897435897,340,156,66.7133284837963,1601,37.24500484953704,894,463.22604790419155,167
48,820,1499,1079,28,11,295,4999.01,419.8060897435897,340,156,66.74985387731482,1602,37.208479456018516,893,463.2260479041916,167
57,820,1499,1064.0833333333333,29,12,290,4999.01,418.0291975308643,354,162,67.78416015046297,1627,36.17417318287037,868,462.5846551724139,174
59,820,1499,1064.0833333333333,29,12,290,4999.01,416.7117682926829,356,164,67.95403577546297,1631,36.00429755787037,864,460.8507386363636,176
60,820,1499,1064.0833333333333,29,12,290,4999.01,416.7117682926829,356,164,67.95821975694444,1631,36.00011357638889,864,460.8507386363636,176
61,820,1499,1064.0833333333333,29,12,290,4999.01,416.7117682926829,356,164,67.96619019675926,1631,35.99214313657407,864,460.8507386363636,176
62,820,1499,1064.0833333333333,29,12,290,4999.01,417.12104294478536,355,163,68.00789185185185,1632,35.950441481481484,863,461.4841714285714,175
63,820,1499,1064.0833333333333,29,12,290,4999.01,417.12104294478524,355,163,68.04952689814814,1633,35.908806435185184,862,461.4841714285714,175
64,820,1499,1064.0833333333333,29,12,290,4999.01,417.12104294478524,355,163,68.09119287037036,1634,35.867140462962965,861,461.4841714285714,175
66,820,1499,1064.0833333333333,29,12,290,4999.01,417.12104294478524,355,163,68.13285282407408,1635,35.82548050925926,860,461.4841714285714,175
67,820,1499,1064.0833333333333,29,12,290,4999.01,417.12104294478524,355,163,68.17452947916667,1636,35.78380385416666,859,461.4841714285714,175
68,820,1499,1064.0833333333333,29,12,290,4999.01,417.12104294478524,355,163,68.21618104166667,1637,35.74215229166666,858,461.4841714285714,175
69,820,1499,1064.0833333333333,29,12,290,4999.01,417.08423312883434,355,163,68.25787136574074,1638,35.700461967592595,857,461.4498857142857,175
70,820,1499,1064.0833333333333,29,12,290,4999.01,417.0842331288342,355,163,68.2995181712963,1639,35.65881516203704,856,461.4498857142857,175
72,839,1499,1065.6666666666667,29,12,285,4999.01,415.5195757575758,358,165,68.46361320601852,1643,35.494720127314814,852,459.59734463276834,177
