counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,150,499,220.32148148148147,130,27,390,500,438.3333333333333,9,3,65.92596597222222,1582,38.03236736111111,913,242.12266666666665,30
1,150,499,220.32148148148147,130,27,390,500,438.3333333333333,9,3,65.93096219907407,1582,38.02737113425926,913,242.12266666666665,30
2,150,499,220.32148148148147,130,27,390,500,438.3333333333333,9,3,65.93114658564815,1582,38.027186747685185,913,242.12266666666665,30
3,150,499,220.3214814814815,130,27,390,500,438.3333333333333,9,3,65.93307280092593,1582,38.02526053240741,913,242.12266666666667,30
4,150,499,220.3214814814815,130,27,390,500,438.3333333333333,9,3,65.9345518287037,1582,38.02378150462963,913,242.12266666666665,30
5,150,499,220.3214814814815,130,27,390,500,438.3333333333333,9,3,65.93459324074074,1582,38.02374009259259,913,242.12266666666665,30
6,150,499,220.3214814814815,130,27,390,500,438.3333333333333,9,3,65.93464085648148,1582,38.02369247685185,913,242.12266666666665,30
7,150,499,220.3214814814815,130,27,390,500,438.3333333333333,9,3,65.93468791666666,1582,38.02364541666667,913,242.12266666666665,30
8,150,499,220.3214814814815,130,27,390,500,438.3333333333333,9,3,65.93472680555556,1582,38.02360652777778,913,242.12266666666665,30
9,150,499,220.3214814814815,130,27,390,500,438.3333333333333,9,3,65.93519215277777,1582,38.023141180555555,913,242.12266666666665,30
10,150,499,220.3214814814815,130,27,390,500,438.3333333333333,9,3,65.93565577546296,1582,38.022677557870374,913,242.12266666666665,30
11,150,499,220.32148148148147,130,27,390,500,438.3333333333333,9,3,65.93612167824074,1582,38.02221165509259,913,242.12266666666667,30
12,150,499,220.32148148148147,130,27,390,500,438.3333333333333,9,3,65.93658100694445,1582,38.02175232638889,913,242.12266666666667,30
13,267.98,9999,458.03861702127665,317,94,699,975,803.5744444444443,23,9,66.48670731481481,1596,37.47162601851852,899,488.23106796116514,103
13,155,499,220.71259259259259,130,27,390,500,438.3333333333333,9,3,66.48670740740741,1596,37.47162592592593,899,242.47466666666662,30
14,155,499,220.71259259259259,130,27,390,500,438.3333333333333,9,3,66.48797303240741,1596,37.470360300925925,899,242.47466666666662,30
14,267.98,9999,458.03861702127665,317,94,699,975,803.5744444444443,23,9,66.48797349537037,1596,37.47035983796296,899,488.23106796116514,103
14,155,499,220.71259259259259,130,27,390,500,438.3333333333333,9,3,66.48798028935185,1596,37.47035304398148,899,242.47466666666662,30
14,267.98,9999,458.03861702127665,317,94,699,975,803.5744444444443,23,9,66.48797515046296,1596,37.47035818287037,899,488.23106796116514,103
15,155,499,220.71259259259256,130,27,390,500,438.3333333333333,9,3,66.48802582175927,1596,37.47030751157408,899,242.47466666666662,30
15,267.98,9999,458.0386170212768,317,94,699,975,803.5744444444443,23,9,66.48802596064814,1596,37.470307372685184,899,488.23106796116514,103
16,155,499,220.71259259259256,130,27,390,500,438.3333333333333,9,3,66.48806305555556,1596,37.47027027777778,899,242.47466666666662,30
16,267.98,9999,458.0386170212768,317,94,699,975,803.5744444444443,23,9,66.48808038194444,1596,37.470252951388886,899,488.23106796116514,103
16,155,499,220.71259259259256,130,27,390,500,438.3333333333333,9,3,66.48809465277778,1596,37.47023868055555,899,242.47466666666662,30
16,267.98,9999,458.0386170212768,317,94,699,975,803.5744444444443,23,9,66.48809394675926,1596,37.47023938657407,899,488.23106796116514,103
17,267.98,9999,458.0386170212768,317,94,699,975,803.5744444444443,23,9,66.48813094907408,1596,37.47020238425926,899,488.23106796116514,103
17,155,499,220.71259259259256,130,27,390,500,438.3333333333333,9,3,66.4881308449074,1596,37.470202488425926,899,242.47466666666662,30
19,155,499,220.71259259259256,130,27,390,500,438.3333333333333,9,3,66.48918918981481,1596,37.46914414351852,899,242.47466666666662,30
19,267.98,9999,458.0386170212768,317,94,699,975,803.5744444444443,23,9,66.48918923611112,1596,37.46914409722222,899,488.23106796116514,103
20,155,499,220.71259259259256,130,27,390,500,438.3333333333333,9,3,66.49048924768519,1596,37.467844085648146,899,242.47466666666662,30
21,155,499,220.71259259259256,130,27,390,500,438.3333333333333,9,3,66.49241074074074,1596,37.46592259259259,899,242.47466666666662,30
22,155,499,220.71259259259256,130,27,390,500,438.3333333333333,9,3,66.49259686342593,1596,37.465736469907405,899,242.47466666666662,30
23,155,499,220.71259259259256,130,27,390,500,438.3333333333333,9,3,66.49277733796296,1596,37.46555599537037,899,242.47466666666662,30
24,155,499,220.71259259259256,130,27,390,500,438.3333333333333,9,3,66.49384971064815,1596,37.46448362268519,899,242.47466666666662,30
25,155,499,220.71259259259256,130,27,390,500,438.3333333333333,9,3,66.49802422453703,1596,37.460309108796295,899,242.47466666666662,30
26,155,499,220.71259259259259,130,27,390,500,438.3333333333333,9,3,66.50219028935186,1596,37.456143043981484,899,242.47466666666662,30
27,155,499,220.71259259259256,130,27,390,500,438.3333333333333,9,3,66.51063365740741,1596,37.447699675925925,899,242.47466666666662,30
28,155,499,220.71259259259259,130,27,390,500,434.985,11,4,66.68927429398148,1601,37.26905903935185,894,248.3606451612903,31
33,155,499,220.71259259259259,130,27,390,500,434.985,11,4,66.69451346064815,1601,37.26381987268518,894,248.3606451612903,31
34,155,499,220.71259259259259,130,27,390,500,434.985,11,4,66.69666173611111,1601,37.261671597222225,894,248.3606451612903,31
35,155,499,220.71259259259259,130,27,390,500,434.985,11,4,66.7008538425926,1601,37.25747949074074,894,248.3606451612903,31
36,155,499,220.71259259259259,130,27,390,500,434.985,11,4,66.70500247685185,1601,37.25333085648148,894,248.3606451612903,31
37,155,499,220.71259259259259,130,27,390,500,434.985,11,4,66.70916146990741,1601,37.24917186342593,894,248.3606451612903,31
39,155,499,220.71259259259259,130,27,390,500,434.985,11,4,66.71332841435185,1601,37.24500491898148,894,248.3606451612903,31
48,155,499,220.71259259259259,130,27,390,500,434.985,11,4,66.74985383101851,1602,37.208479502314816,893,248.3606451612903,31
57,140,499,219.78666666666666,129,27,390,500,434.985,11,4,67.78416018518519,1627,36.17417314814815,868,247.55419354838708,31
59,140,499,219.7866666666667,129,27,390,500,434.985,11,4,67.95403199074075,1631,36.00430134259259,864,247.5541935483871,31
60,140,499,219.7866666666667,129,27,390,500,434.985,11,4,67.95822167824075,1631,36.000111655092596,864,247.5541935483871,31
61,140,499,219.7866666666667,129,27,390,500,434.985,11,4,67.96620239583334,1631,35.9921309375,864,247.5541935483871,31
62,140,499,219.7866666666667,129,27,390,500,434.985,11,4,68.00789202546297,1632,35.95044130787037,863,247.5541935483871,31
63,140,499,219.7866666666667,129,27,390,500,434.985,11,4,68.04952701388889,1633,35.908806319444444,862,247.5541935483871,31
64,140,499,219.7866666666667,129,27,390,500,434.985,11,4,68.09120363425926,1634,35.86712969907408,861,247.5541935483871,31
66,140,499,219.7866666666667,129,27,390,500,434.985,11,4,68.13286442129629,1635,35.82546891203704,860,247.5541935483871,31
67,140,499,219.7866666666667,129,27,390,500,434.985,11,4,68.17453422453704,1636,35.783799108796295,859,247.5541935483871,31
68,140,499,219.7866666666667,129,27,390,500,434.985,11,4,68.21618225694445,1637,35.742151076388886,858,247.5541935483871,31
69,140,499,219.7866666666667,129,27,390,500,434.985,11,4,68.25785777777777,1638,35.700475555555556,857,247.5541935483871,31
70,140,499,219.7866666666667,129,27,390,500,434.985,11,4,68.2995180324074,1639,35.65881530092592,856,247.5541935483871,31
72,140,499,219.7866666666667,129,27,390,500,434.985,11,4,68.46361293981481,1643,35.49472039351852,852,247.5541935483871,31
73,140,499,219.8977777777778,129,27,390,501,435.485,11,4,68.50532701388889,1644,35.45300631944444,851,247.71548387096774,31
75,140,499,219.8977777777778,129,27,390,501,435.485,11,4,68.62786458333333,1647,35.33046875,848,247.71548387096774,31
76,140,499,219.8977777777778,129,27,390,501,435.485,11,4,68.62803295138889,1647,35.33030038194445,848,247.71548387096774,31
77,140,499,219.8977777777778,129,27,390,501,435.485,11,4,68.62819296296296,1647,35.33014037037037,848,247.71548387096774,31
79,140,499,219.8977777777778,129,27,390,501,435.485,11,4,68.66071957175926,1648,35.29761376157408,847,247.71548387096774,31
80,140,499,219.8977777777778,129,27,390,501,435.485,11,4,68.66422193287038,1648,35.29411140046296,847,247.71548387096774,31
81,140,499,219.8977777777778,129,27,390,501,435.485,11,4,68.70589762731481,1649,35.25243570601852,846,247.71548387096774,31
82,140,499,219.8977777777778,129,27,390,501,435.485,11,4,68.74757336805555,1650,35.21075996527778,845,247.71548387096774,31
83,150,499,222.97076923076926,128,26,390,501,435.485,11,4,68.78923055555556,1651,35.16910277777778,844,251.306,30
84,150,499,222.97076923076926,128,26,390,501,435.485,11,4,68.83090005787037,1652,35.12743327546296,843,251.306,30
86,150,499,222.97076923076926,128,26,390,501,435.485,11,4,68.87257072916667,1653,35.08576260416667,842,251.306,30
87,150,499,222.97076923076926,128,26,390,501,435.485,11,4,68.91424164351852,1654,35.04409168981481,841,251.306,30
88,150,499,222.97076923076926,128,26,390,501,435.485,11,4,68.95589880787037,1655,35.00243452546296,840,251.306,30
89,150,499,222.97076923076926,128,26,390,501,435.485,11,4,68.9976303125,1656,34.960703020833336,839,251.306,30
90,150,499,222.97076923076926,128,26,390,501,435.485,11,4,69.03925300925926,1657,34.91908032407407,838,251.306,30
92,150,499,222.97076923076926,128,26,390,501,435.485,11,4,69.08092734953703,1658,34.877405983796294,837,251.306,30
93,150,499,222.97076923076926,128,26,390,501,435.485,11,4,69.08123554398148,1658,34.87709778935185,837,251.306,30
94,150,499,222.97076923076926,128,26,390,501,435.485,11,4,69.12259231481481,1659,34.83574101851852,836,251.306,30
95,150,499,222.97076923076926,128,26,390,501,435.485,11,4,69.16423489583333,1660,34.7940984375,835,251.306,30
96,150,499,222.97076923076926,128,26,390,501,435.485,11,4,69.20590219907407,1661,34.75243113425926,834,251.306,30
