counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,260,499,322.48535714285714,80,28,700,700,700,2,1,65.92596650462963,1582,38.0323668287037,913,335.50310344827585,29
1,260,499,322.48535714285714,80,28,700,700,700,2,1,65.93096230324075,1582,38.027371030092596,913,335.50310344827585,29
2,260,499,322.48535714285714,80,28,700,700,700,2,1,65.93114601851852,1582,38.02718731481482,913,335.50310344827585,29
3,270,499,324.79962962962964,79,27,700,700,700,2,1,65.9330730324074,1582,38.02526030092593,913,338.19964285714286,28
4,270,499,324.79962962962964,79,27,700,700,700,2,1,65.93455179398148,1582,38.02378153935185,913,338.19964285714286,28
5,270,499,324.79962962962964,79,27,700,700,700,2,1,65.93460569444444,1582,38.023727638888886,913,338.19964285714286,28
6,270,499,324.79962962962964,79,27,700,700,700,2,1,65.9346405787037,1582,38.02369275462963,913,338.19964285714286,28
7,270,499,324.79962962962964,79,27,700,700,700,2,1,65.9346878587963,1582,38.023645474537034,913,338.19964285714286,28
8,270,499,324.79962962962964,79,27,700,700,700,2,1,65.93474252314815,1582,38.02359081018518,913,338.19964285714286,28
9,270,499,324.79962962962964,79,27,700,700,700,2,1,65.93519217592592,1582,38.02314115740741,913,338.19964285714286,28
10,270,499,324.79962962962964,79,27,700,700,700,2,1,65.93565586805556,1582,38.02267746527778,913,338.19964285714286,28
11,270,499,324.79962962962964,79,27,700,700,700,2,1,65.93612162037037,1582,38.022211712962964,913,338.19964285714286,28
12,270,499,324.79962962962964,79,27,700,700,700,2,1,65.93658083333334,1582,38.0217525,913,338.19964285714286,28
13,250,499,323.00333333333333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.48670753472223,1596,37.471625798611115,899,323.00333333333333,27
13,264.98,9999,655.2186842105264,96,38,559,610.4,588.2316666666667,32,6,66.48670716435186,1596,37.47162616898148,899,646.0840909090911,44
14,250,499,323.00333333333333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.48797297453704,1596,37.4703603587963,899,323.00333333333333,27
14,264.98,9999,655.2186842105264,96,38,559,610.4,588.2316666666667,32,6,66.48797353009259,1596,37.47035980324074,899,646.0840909090911,44
14,250,499,323.00333333333333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.4879744212963,1596,37.470358912037035,899,323.00333333333333,27
14,264.98,9999,655.2186842105264,96,38,559,610.4,588.2316666666667,32,6,66.48797520833334,1596,37.470358125,899,646.0840909090911,44
15,250,499,323.00333333333333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.48802578703703,1596,37.4703075462963,899,323.00333333333333,27
15,264.98,9999,655.2186842105264,96,38,559,610.4,588.2316666666667,32,6,66.4880260300926,1596,37.47030730324074,899,646.0840909090911,44
16,250,499,323.00333333333333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.48806298611112,1596,37.470270347222225,899,323.00333333333333,27
16,264.98,9999,655.2186842105264,96,38,559,610.4,588.2316666666667,32,6,66.48808043981481,1596,37.47025289351852,899,646.0840909090911,44
16,264.98,9999,655.2186842105264,96,38,559,610.4,588.2316666666667,32,6,66.4880868287037,1596,37.47024650462963,899,646.0840909090911,44
16,250,499,323.00333333333333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.48808723379629,1596,37.470246099537036,899,323.00333333333333,27
17,250,499,323.00333333333333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.48813081018518,1596,37.470202523148146,899,323.00333333333333,27
17,264.98,9999,655.2186842105264,96,38,559,610.4,588.2316666666667,32,6,66.48813108796297,1596,37.47020224537037,899,646.0840909090911,44
19,250,499,323.00333333333333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.48918909722222,1596,37.46914423611111,899,323.00333333333333,27
19,264.98,9999,655.2186842105264,96,38,559,610.4,588.2316666666667,32,6,66.48920825231481,1596,37.46912508101852,899,646.0840909090911,44
20,250,499,323.00333333333333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.49048928240741,1596,37.467844050925926,899,323.00333333333333,27
21,250,499,323.00333333333333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.49241091435185,1596,37.465922418981485,899,323.00333333333333,27
22,250,499,323.00333333333333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.4925837962963,1596,37.465749537037034,899,323.00333333333333,27
23,250,499,323.00333333333333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.49277730324074,1596,37.46555603009259,899,323.00333333333333,27
24,250,499,323.00333333333333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.49384961805555,1596,37.46448371527778,899,323.00333333333333,27
25,250,499,323.00333333333333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.49802431712963,1596,37.4603090162037,899,323.00333333333333,27
26,245,499,320.21750000000003,79,28,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.50219034722222,1596,37.45614298611111,899,320.21750000000003,28
27,245,499,320.21750000000003,79,28,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.5106333912037,1596,37.44769994212963,899,320.21750000000003,28
28,244,499,315.21258064516127,85,31,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.68927439814814,1601,37.269058935185186,894,315.21258064516127,31
33,244,499,315.21258064516127,85,31,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.69451201388888,1601,37.263821319444446,894,315.21258064516127,31
34,244,499,315.21258064516127,85,31,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.6966616550926,1601,37.26167167824074,894,315.21258064516127,31
35,244,499,315.21258064516127,85,31,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.70083417824074,1601,37.257499155092596,894,315.21258064516127,31
36,244,499,315.21258064516127,85,31,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.70501538194445,1601,37.25331795138889,894,315.21258064516127,31
37,245,499,317.58633333333336,84,30,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.7091612037037,1601,37.24917212962963,894,317.58633333333336,30
39,245,499,317.58633333333336,84,30,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.7133283912037,1601,37.24500494212963,894,317.58633333333336,30
48,245,499,317.58633333333336,84,30,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.74985377314815,1602,37.20847956018518,893,317.58633333333336,30
57,278,499,323.4234375,110,32,599,599,599,6,1,67.78416024305555,1627,36.174173090277776,868,331.7742424242424,33
59,277.99,499,322.7059375,109,32,599,599,599,6,1,67.95403195601853,1631,36.00430137731482,864,331.07848484848483,33
60,277.99,499,322.7059375,109,32,599,599,599,6,1,67.95822146990741,1631,36.00011186342593,864,331.07848484848483,33
61,277.99,499,322.7059375,109,32,599,599,599,6,1,67.96620246527777,1631,35.992130868055554,864,331.07848484848483,33
62,277.99,499,321.4559375,109,32,599,599,599,6,1,68.00789210648148,1632,35.95044122685185,863,329.86636363636364,33
63,277.99,499,321.4559375,109,32,599,599,599,6,1,68.04951814814815,1633,35.90881518518518,862,329.86636363636364,33
64,277.99,499,321.4559375,109,32,599,599,599,6,1,68.09120578703704,1634,35.867127546296295,861,329.86636363636364,33
66,277.99,499,321.4559375,109,32,599,599,599,6,1,68.13286450231482,1635,35.82546883101852,860,329.86636363636364,33
67,277.99,499,321.4559375,109,32,599,599,599,6,1,68.17452815972223,1636,35.783805173611114,859,329.86636363636364,33
68,277.99,499,321.4559375,107,32,599,599,599,6,1,68.21618265046297,1637,35.74215068287037,858,329.8663636363636,33
69,277.99,499,321.4559375,105,32,599,599,599,6,1,68.25785891203704,1638,35.7004744212963,857,329.86636363636364,33
70,277.99,499,321.4559375,105,32,599,599,599,6,1,68.29951792824075,1639,35.65881540509259,856,329.86636363636364,33
72,275,499,324.2320689655172,100,29,599,599,599,6,1,68.46366527777778,1643,35.49466805555556,852,333.39099999999996,30
73,275,499,325.2665517241379,100,29,599,600,599.5,7,2,68.50529241898148,1644,35.45304091435185,851,342.9590322580645,31
75,275,499,326.23125,102,32,599,600,599.5,7,2,68.62786452546297,1647,35.33046880787037,848,342.3058823529412,34
76,275,499,326.23125,102,32,599,600,599.5,7,2,68.62803289351852,1647,35.33030043981481,848,342.3058823529412,34
77,275,499,326.23125,102,32,599,600,599.5,7,2,68.6281890162037,1647,35.33014431712963,848,342.3058823529412,34
79,275,499,326.23125,102,32,599,600,599.5,7,2,68.66071962962963,1648,35.2976137037037,847,342.3058823529412,34
80,275,499,326.23125,102,32,599,600,599.5,7,2,68.6642146875,1648,35.294118645833336,847,342.3058823529412,34
81,275,499,326.330625,102,32,570,599,584.5,7,2,68.70589820601852,1649,35.25243512731481,846,341.5170588235294,34
82,274,499,324.7448484848485,103,33,570,599,584.5,7,2,68.7475639699074,1650,35.210769363425925,845,339.588,35
83,274,499,324.7448484848485,103,33,570,599,584.5,7,2,68.78923096064815,1651,35.16910237268519,844,339.588,35
84,274,499,324.7448484848485,103,33,570,599,584.5,7,2,68.83089159722222,1652,35.12744173611111,843,339.588,35
86,274,499,324.3111764705883,104,34,570,599,584.5,7,2,68.87257039351852,1653,35.08576293981481,842,338.7661111111112,36
87,274,499,323.7523529411765,104,34,570,599,584.5,7,2,68.9142439699074,1654,35.044089363425925,841,338.2383333333334,36
88,274,499,323.75235294117647,104,34,570,599,584.5,7,2,68.95593491898148,1655,35.00239841435185,840,338.23833333333334,36
89,274,499,323.75235294117647,104,34,570,599,584.5,7,2,68.99763005787037,1656,34.96070327546296,839,338.23833333333334,36
90,274,499,323.75235294117647,104,34,570,599,584.5,7,2,69.03925307870371,1657,34.91908025462963,838,338.23833333333334,36
92,274,499,323.75235294117647,104,34,570,599,584.5,7,2,69.08092752314815,1658,34.87740581018519,837,338.23833333333334,36
93,274,499,323.75235294117647,104,34,570,599,584.5,7,2,69.08123563657408,1658,34.87709769675926,837,338.23833333333334,36
94,274,499,323.75235294117647,104,34,570,599,584.5,7,2,69.12258358796296,1659,34.83574974537037,836,338.23833333333334,36
95,274,499,323.75235294117647,104,34,570,599,584.5,7,2,69.16423518518519,1660,34.79409814814815,835,338.23833333333334,36
96,274,499,323.75235294117647,104,34,570,599,584.5,7,2,69.20590137731482,1661,34.75243195601852,834,338.23833333333334,36
97,274,499,323.75235294117647,104,34,570,599,584.5,7,2,69.24755863425926,1662,34.71077469907407,833,338.23833333333334,36
98,274,499,321.2938888888889,107,36,570,599,584.5,7,2,69.28923864583334,1663,34.6690946875,832,335.14684210526315,38
100,274,499,323.98764705882354,102,34,570,599,584.5,7,2,69.33090248842592,1664,34.62743084490741,831,338.4605555555556,36
101,274,499,324.0165714285714,102,35,570,599,584.5,7,2,69.37255930555555,1665,34.58577402777778,830,338.09675675675675,37
102,274,499,322.7105555555556,104,36,570,599,584.5,7,2,69.41424317129629,1666,34.54409016203704,829,336.48894736842107,38
103,274,499,322.7105555555556,104,36,570,599,584.5,7,2,69.45589987268518,1667,34.50243346064815,828,336.48894736842107,38
104,277,499,327.0781818181818,100,33,570,599,584.5,7,2,69.49759207175926,1668,34.46074126157407,827,341.788,35
105,278,499,327.32060606060605,99,33,570,599,584.5,7,2,69.53924206018519,1669,34.41909127314815,826,342.0165714285714,35
107,278,499,326.5170588235294,100,34,570,599,584.5,7,2,69.58097101851853,1670,34.37736231481482,825,340.84944444444443,36
108,225,499,324.9582352941176,100,34,570,599,584.5,7,2,69.62256012731481,1671,34.335773206018516,824,339.3772222222222,36
109,225,499,325.4344117647058,100,34,570,599,584.5,7,2,69.6642434375,1672,34.29408989583333,823,339.82694444444445,36
110,225,499,325.4344117647059,99,34,570,599,584.5,7,2,69.7059089236111,1673,34.252424409722224,822,339.82694444444445,36
111,225,499,325.4344117647059,99,34,570,599,584.5,7,2,69.74762431712963,1674,34.2107090162037,821,339.82694444444445,36
113,225,499,325.4344117647059,99,34,570,599,584.5,7,2,69.78923752314815,1675,34.16909581018518,820,339.82694444444445,36
