counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,800,1399,960.9,36,10,199.98,3999,281.26796791443843,795,187,34.96763298611111,839,93.03236701388889,2233,315.76705583756336,197
1,800,1399,960.9,36,10,199.98,3999,281.26796791443843,795,187,34.97262900462963,839,93.02737099537038,2233,315.76705583756336,197
2,800,1399,960.9,36,10,199.98,3999,281.26796791443843,795,187,34.97281259259259,839,93.02718740740741,2233,315.76705583756336,197
3,800,1399,960.9,36,10,199.98,3999,281.26796791443843,795,187,34.97473931712963,839,93.02526068287037,2233,315.76705583756336,197
4,800,1399,960.9,36,10,199.98,3999,281.26796791443843,795,187,34.97621837962963,839,93.02378162037037,2233,315.76705583756336,197
5,800,1399,960.9,36,10,199.98,3999,281.26796791443843,795,187,34.97627241898148,839,93.02372758101852,2233,315.76705583756336,197
6,800,1399,960.9,36,10,199.98,3999,281.26796791443843,795,187,34.97630732638889,839,93.02369267361111,2233,315.76705583756336,197
7,800,1399,960.9,36,10,199.98,3999,281.26796791443843,795,187,34.97635449074074,839,93.02364550925925,2233,315.76705583756336,197
8,800,1399,960.9,36,10,199.98,3999,281.26796791443843,795,187,34.9764091087963,839,93.02359089120371,2233,315.76705583756336,197
9,800,1399,960.9,36,10,199.98,3999,281.26796791443843,795,187,34.9768587962963,839,93.0231412037037,2233,315.76705583756336,197
10,800,1399,960.9,36,10,199.98,3999,281.26796791443843,795,187,34.97732361111111,839,93.02267638888888,2233,315.76705583756336,197
11,800,1399,960.9,36,10,199.98,3999,281.2679679144385,795,187,34.97778826388889,839,93.02221173611112,2233,315.76705583756336,197
12,800,1399,960.9,36,10,199.98,3999,281.2679679144385,795,187,34.97824789351852,839,93.02175210648149,2233,315.76705583756336,197
13,800,1399,960.9,36,10,199,3999,281.0025133689839,788,187,35.52837402777778,853,92.47162597222223,2219,315.51507614213193,197
14,800,1399,960.9,36,10,199,3999,281.0025133689839,788,187,35.52959962962963,853,92.47040037037037,2219,315.51507614213193,197
15,800,1399,960.9,36,10,199,3999,281.0025133689839,788,187,35.529639976851854,853,92.47036002314815,2219,315.51507614213193,197
16,800,1399,960.9,36,10,199,3999,281.0025133689839,788,187,35.52968884259259,853,92.47031115740741,2219,315.51507614213193,197
16,800,1399,960.9,36,10,199,3999,281.0025133689839,788,187,35.529705844907404,853,92.47029415509259,2219,315.51507614213193,197
17,800,1399,960.9,36,10,199,3999,281.0025133689839,788,187,35.52975337962963,853,92.47024662037038,2219,315.51507614213193,197
17,800,1399,960.9,36,10,199,3999,281.0025133689839,788,187,35.52979793981481,853,92.47020206018519,2219,315.51507614213193,197
19,800,1399,960.9,36,10,199,3999,281.0025133689839,788,187,35.530154340277775,853,92.46984565972222,2219,315.51507614213193,197
20,800,1399,960.9,36,10,199,3999,281.0025133689839,788,187,35.531451875,853,92.468548125,2219,315.5150761421319,197
21,800,1399,960.9,36,10,199,3999,281.0025133689839,788,187,35.534145127314815,853,92.46585487268518,2219,315.51507614213193,197
22,800,1399,960.9,36,10,199,3999,281.0025133689839,788,187,35.53431877314815,853,92.46568122685186,2219,315.51507614213193,197
23,800,1399,960.9,36,10,199,3999,281.0025133689839,788,187,35.535140578703704,853,92.4648594212963,2219,315.51507614213193,197
24,800,1399,960.9,36,10,199,3999,281.0025133689839,788,187,35.536209872685184,853,92.46379012731481,2219,315.51507614213193,197
25,800,1399,960.9,36,10,199,3999,281.0025133689839,792,187,35.54037572916667,853,92.45962427083333,2219,315.51507614213193,197
26,800,1399,960.9,36,10,199,3999,281.438064516129,790,186,35.54454212962963,853,92.45545787037037,2219,316.1044897959183,196
28,800,1399,960.9,36,10,198,3999,281.0131382978723,798,188,35.73903119212963,858,92.26096880787037,2214,315.35085858585853,198
29,800,1399,960.9,36,10,198,3999,281.01313829787233,798,188,35.743199340277776,858,92.25680065972222,2214,315.35085858585853,198
30,800,1399,960.9,36,10,198,3999,281.01313829787233,798,188,35.74740300925926,858,92.25259699074074,2214,315.35085858585853,198
31,800,1399,960.9,36,10,198,3999,281.01313829787233,797,188,35.751580474537036,858,92.24841952546296,2214,315.35085858585853,198
32,800,1399,960.9,36,10,198,3999,281.01313829787233,796,188,35.75569820601852,858,92.24430179398148,2214,315.35085858585853,198
34,800,1399,960.9,36,10,195,3999,280.574193548387,793,186,36.82651892361111,884,91.1734810763889,2188,315.2846938775509,196
35,800,1399,960.9,36,10,200,3999,281.7760869565217,785,184,36.99641357638889,888,91.00358642361111,2184,316.7824742268041,194
36,800,1399,960.9,36,10,200,3999,281.7760869565217,785,184,37.00058697916667,888,90.99941302083333,2184,316.782474226804,194
37,800,1399,960.9,36,10,200,3999,281.7760869565217,785,184,37.00855416666667,888,90.99144583333333,2184,316.78247422680397,194
38,800,1399,960.9,36,10,200,3999,281.7760869565217,785,184,37.050222743055556,889,90.94977725694444,2183,316.7824742268041,194
39,800,1399,960.9,36,10,200,3999,282.22295081967206,784,183,37.09188835648148,890,90.90811164351852,2182,317.38756476683926,193
40,800,1399,960.9,36,10,200,3999,282.22295081967206,784,183,37.133548877314816,891,90.86645112268519,2181,317.3875647668393,193
41,800,1399,960.9,36,10,200,3999,282.222950819672,784,183,37.1752225,892,90.8247775,2180,317.3875647668393,193
42,800,1399,960.9,36,10,200,3999,282.22295081967206,784,183,37.216889537037034,893,90.78311046296297,2179,317.38756476683926,193
43,800,1399,960.9,36,10,200,3999,282.22295081967206,784,183,37.25855568287037,894,90.74144431712963,2178,317.3875647668393,193
44,800,1399,960.9,36,10,200,3999,282.22295081967206,782,183,37.300237673611115,895,90.69976232638889,2177,317.38756476683926,193
45,800,1399,960.9,36,10,200,3999,282.222950819672,782,183,37.341887175925926,896,90.65811282407408,2176,317.3875647668393,193
46,800,1399,960.9,36,10,200,3999,281.2799999999999,783,185,37.50598430555556,900,90.49401569444444,2172,316.1323076923076,195
47,800,1399,960.9,36,10,199.99,3999,281.61298913043464,782,184,37.54764981481482,901,90.45235018518518,2171,316.6277835051545,194
49,800,1399,960.9,36,10,195,3999,280.7569892473117,782,186,37.703089965277776,905,90.29691003472222,2167,315.458163265306,196
50,800,1399,960.9,36,10,195,3999,280.7569892473117,782,186,37.70659769675926,905,90.29340230324074,2167,315.45816326530604,196
51,800,1399,960.9,36,10,195,3999,280.75698924731176,782,186,37.74825894675926,906,90.25174105324074,2166,315.45816326530604,196
52,800,1399,960.9,36,10,199,3999,281.22054054054047,780,185,37.78992850694444,907,90.21007149305555,2165,316.0758974358973,195
53,800,1399,960.9,36,10,200,3999,282.1136612021857,777,183,37.83158943287037,908,90.16841056712963,2164,317.2839378238341,193
54,800,1399,960.9,36,10,200,3999,282.5618131868131,772,182,37.87325875,909,90.12674125,2163,317.89192708333326,192
55,800,1399,960.9,36,10,200,3999,282.5618131868131,772,182,37.91492623842593,910,90.08507376157408,2162,317.89192708333326,192
56,800,1399,960.9,36,10,200,3999,282.5618131868131,770,182,37.956588842592595,911,90.0434111574074,2161,317.89192708333326,192
57,800,1399,960.9,36,10,200,3999,282.622857142857,768,182,37.99826358796296,912,90.00173641203703,2160,317.9497916666665,192
58,800,1399,960.9,36,10,200,3999,282.6228571428571,768,182,38.039992824074076,913,89.96000717592592,2159,317.94979166666656,192
59,800,1399,960.9,36,10,200,3999,282.6228571428571,768,182,38.08159841435185,914,89.91840158564816,2158,317.94979166666656,192
60,800,1399,960.9,36,10,200,3999,282.6228571428571,768,182,38.123260486111114,915,89.8767395138889,2157,317.9497916666666,192
61,800,1399,960.9,36,10,200,3999,282.6228571428571,768,182,38.12350467592593,915,89.87649532407407,2157,317.9497916666666,192
62,800,1399,960.9,36,10,200,3999,282.62285714285713,768,182,38.16493496527778,916,89.83506503472222,2156,317.94979166666667,192
63,800,1399,960.9,36,10,200,3999,282.6228571428571,768,182,38.206595694444445,917,89.79340430555555,2155,317.9497916666666,192
64,800,1399,960.9,36,10,200,3999,282.6228571428571,766,182,38.24827336805556,918,89.75172663194445,2154,317.94979166666656,192
65,800,1399,960.9,36,10,200,3999,282.62285714285696,766,182,38.28993008101852,919,89.71006991898147,2153,317.9497916666666,192
66,800,1399,960.9,36,10,200,3999,282.6228571428571,766,182,38.33162847222222,920,89.66837152777778,2152,317.9497916666666,192
67,800,1399,960.9,36,10,200,3999,282.7327472527472,766,182,38.37326923611111,921,89.62673076388889,2151,318.0539583333332,192
68,800,1399,960.9,36,10,200,3999,282.7327472527472,765,182,38.414936053240744,922,89.58506394675926,2150,318.0539583333332,192
69,800,1399,960.9,36,10,200,3999,282.7327472527472,765,182,38.45659876157407,923,89.54340123842593,2149,318.05395833333324,192
70,800,1399,960.9,36,10,200,3999,282.7327472527472,763,182,38.498270231481484,924,89.50172976851852,2148,318.05395833333324,192
72,800,1399,960.9,36,10,190,3999,282.22601092896167,764,183,38.581600011574075,926,89.41839998842593,2146,317.3904663212434,193
74,800,1399,960.9,36,10,190,3999,282.4041304347825,769,184,38.66494019675926,928,89.33505980324074,2144,317.3781443298968,194
75,800,1399,960.9,36,10,190,3999,282.4041304347826,769,184,38.706601828703704,929,89.2933981712963,2143,317.3781443298969,194
76,800,1399,960.9,36,10,200,3999,283.3646153846153,765,182,38.748267534722224,930,89.25173246527778,2142,318.6529166666665,192
77,800,1399,960.9,36,10,200,3999,283.36461538461526,765,182,38.78993554398148,931,89.21006445601851,2141,318.6529166666666,192
78,800,1399,960.9,36,10,200,3999,283.3646153846153,763,182,38.83160358796296,932,89.16839641203704,2140,318.6529166666666,192
79,800,1399,960.9,36,10,200,3999,283.3646153846153,763,182,38.87327032407408,933,89.12672967592593,2139,318.65291666666656,192
80,800,1399,960.9,36,10,200,3999,283.3646153846153,762,182,38.914931851851854,934,89.08506814814815,2138,318.6529166666666,192
81,800,1399,960.9,36,10,200,3999,282.61608695652166,783,184,38.9566015625,935,89.0433984375,2137,317.57917525773183,194
82,800,1399,960.9,36,10,200,3999,282.61608695652166,783,184,38.998268680555555,936,89.00173131944445,2136,317.57917525773183,194
83,800,1399,960.9,36,10,200,3999,282.61608695652166,783,184,39.03993559027778,937,88.96006440972222,2135,317.5791752577319,194
84,800,1399,960.9,36,10,200,3999,282.61608695652177,783,184,39.08160724537037,938,88.91839275462964,2134,317.57917525773195,194
86,800,1399,960.9,36,10,200,3999,282.61608695652166,783,184,39.16493197916667,940,88.83506802083333,2132,317.5791752577319,194
87,800,1399,960.9,36,10,200,3999,282.61608695652166,783,184,39.2066037962963,941,88.79339620370371,2131,317.57917525773183,194
88,800,1399,960.9,36,10,200,3999,282.61608695652166,783,184,39.24826681712963,942,88.75173318287037,2130,317.5791752577319,194
89,800,1399,960.9,36,10,200,3999,282.61608695652166,783,184,39.289936574074076,943,88.71006342592592,2129,317.57917525773183,194
90,800,1399,960.9,36,10,200,3999,282.61608695652166,783,184,39.33160376157407,944,88.66839623842593,2128,317.57917525773183,194
91,800,1399,960.9,36,10,200,3999,283.0675409836065,781,183,39.373275150462966,945,88.62672484953704,2127,318.18839378238334,193
92,800,1399,960.9,36,10,200,3999,283.0839344262294,777,183,39.41493960648148,946,88.58506039351852,2126,318.2039378238341,193
93,800,1399,960.9,36,10,200,3999,283.48549450549433,776,182,39.45663721064815,947,88.54336278935185,2125,318.76749999999987,192
94,800,1399,960.9,36,10,200,3999,283.48549450549444,776,182,39.49827424768519,948,88.50172575231481,2124,318.7674999999999,192
95,800,1399,960.9,36,10,200,3999,283.48549450549456,776,182,39.53993871527778,949,88.46006128472222,2123,318.7675,192
96,800,1399,960.9,36,10,200,3999,283.48549450549444,776,182,39.58160784722222,950,88.41839215277778,2122,318.76749999999987,192
