counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,700,1099,810.1428571428571,27,7,180,3999,258.9976984126984,407,126,34.96763261574074,839,93.03236738425926,2233,288.00533834586463,133
1,700,1099,810.1428571428571,27,7,180,3999,258.99769841269847,407,126,34.97262866898148,839,93.02737133101851,2233,288.00533834586463,133
2,700,1099,810.1428571428571,27,7,180,3999,258.99769841269847,407,126,34.972813287037035,839,93.02718671296296,2233,288.00533834586463,133
3,700,1099,810.1428571428571,27,7,180,3999,258.9976984126984,407,126,34.97473943287037,839,93.02526056712964,2233,288.00533834586463,133
4,700,1099,810.1428571428571,27,7,180,3999,258.9976984126984,407,126,34.97621854166667,839,93.02378145833333,2233,288.00533834586463,133
5,700,1099,810.1428571428571,27,7,180,3999,258.9976984126984,407,126,34.97625987268518,839,93.02374012731481,2233,288.00533834586463,133
6,700,1099,810.1428571428571,27,7,180,3999,258.9976984126984,407,126,34.97630672453704,839,93.02369327546296,2233,288.00533834586463,133
7,700,1099,810.1428571428571,27,7,180,3999,258.9976984126984,407,126,34.97635432870371,839,93.0236456712963,2233,288.00533834586463,133
8,700,1099,810.1428571428571,27,7,180,3999,258.9976984126984,407,126,34.97639351851852,839,93.02360648148148,2233,288.00533834586463,133
9,700,1099,810.1428571428571,27,7,180,3999,258.9976984126984,407,126,34.97685891203704,839,93.02314108796297,2233,288.00533834586463,133
10,700,1099,810.1428571428571,27,7,180,3999,258.9976984126984,407,126,34.97732258101852,839,93.02267741898149,2233,288.00533834586463,133
11,700,1099,810.1428571428571,27,7,180,3999,258.9976984126984,407,126,34.977788206018516,839,93.02221179398148,2233,288.00533834586463,133
12,700,1099,810.1428571428571,27,7,180,3999,258.9976984126984,407,126,34.97824756944444,839,93.02175243055555,2233,288.00533834586463,133
13,700,1099,810.1428571428571,27,7,180,3999,258.46648437500005,410,128,35.528373969907406,853,92.4716260300926,2219,287.07192592592594,135
14,700,1099,810.1428571428571,27,7,180,3999,258.46648437500005,410,128,35.5295996875,853,92.4704003125,2219,287.07192592592594,135
15,700,1099,810.1428571428571,27,7,180,3999,258.46648437500005,410,128,35.529640011574074,853,92.47035998842593,2219,287.07192592592594,135
16,700,1099,810.1428571428571,27,7,180,3999,258.466484375,410,128,35.52968888888889,853,92.47031111111112,2219,287.07192592592594,135
16,700,1099,810.1428571428571,27,7,180,3999,258.466484375,410,128,35.529719282407406,853,92.47028071759259,2219,287.07192592592594,135
17,700,1099,810.1428571428571,27,7,180,3999,258.466484375,410,128,35.529753344907405,853,92.4702466550926,2219,287.07192592592594,135
17,700,1099,810.1428571428571,27,7,180,3999,258.466484375,410,128,35.52979744212963,853,92.47020255787037,2219,287.07192592592594,135
19,700,1099,810.1428571428571,27,7,180,3999,258.466484375,410,128,35.53015447916667,853,92.46984552083333,2219,287.07192592592594,135
20,700,1099,810.1428571428571,27,7,180,3999,258.466484375,410,128,35.53145201388889,853,92.4685479861111,2219,287.07192592592594,135
21,700,1099,810.1428571428571,27,7,180,3999,258.46648437500005,410,128,35.53414506944444,853,92.46585493055555,2219,287.07192592592594,135
22,700,1099,810.1428571428571,27,7,180,3999,258.46648437500005,410,128,35.53431887731482,853,92.46568112268518,2219,287.07192592592594,135
23,700,1099,810.1428571428571,27,7,180,3999,258.46648437500005,410,128,35.53514070601852,853,92.46485929398148,2219,287.07192592592594,135
24,700,1099,810.1428571428571,27,7,180,3999,258.46648437500005,410,128,35.53621009259259,853,92.4637899074074,2219,287.07192592592594,135
25,700,1099,810.1428571428571,27,7,180,3999,258.46648437500005,410,128,35.54037561342592,853,92.45962438657408,2219,287.07192592592594,135
26,700,1099,810.1428571428571,27,7,180,3999,258.46648437500005,410,128,35.54454202546296,853,92.45545797453704,2219,287.07192592592594,135
27,700,1099,810.1428571428571,27,7,180,3999,257.8892248062016,409,129,35.73687049768518,858,92.26312950231481,2214,286.31404411764703,136
28,700,1099,810.1428571428571,27,7,180,3999,257.8892248062016,409,129,35.73903126157408,858,92.26096873842593,2214,286.31404411764703,136
29,700,1099,810.1428571428571,27,7,180,3999,257.8892248062016,409,129,35.74319925925926,858,92.25680074074074,2214,286.31404411764703,136
30,700,1099,810.1428571428571,27,7,180,3999,257.8892248062016,409,129,35.74740269675926,858,92.25259730324075,2214,286.31404411764703,136
31,700,1099,810.1428571428571,27,7,180,3999,257.8892248062016,409,129,35.751580520833336,858,92.24841947916667,2214,286.31404411764703,136
32,700,1099,810.1428571428571,27,7,180,3999,257.8892248062016,409,129,35.75569788194444,858,92.24430211805556,2214,286.31404411764703,136
34,700,1099,810.1428571428571,27,7,180,3999,258.8100781250001,404,128,36.826518819444445,884,91.17348118055556,2188,287.39770370370366,135
35,700,1099,810.1428571428571,27,7,189.49,3999,259.26328125000003,405,128,36.99641180555555,888,91.00358819444445,2184,287.8274074074074,135
36,700,1099,810.1428571428571,27,7,189.49,3999,259.26328125000003,405,128,37.000585162037034,888,90.99941483796296,2184,287.8274074074074,135
37,700,1099,810.1428571428571,27,7,189.49,3999,259.26328125000003,405,128,37.008554259259256,888,90.99144574074074,2184,287.82740740740746,135
38,700,1099,810.1428571428571,27,7,185,3999,259.22812500000003,405,128,37.05022288194444,889,90.94977711805555,2183,287.7940740740741,135
39,700,1099,810.1428571428571,27,7,185,3999,259.22812500000003,405,128,37.09188858796296,890,90.90811141203703,2182,287.79407407407405,135
40,700,1099,810.1428571428571,27,7,185,3999,259.2281250000001,405,128,37.13354916666667,891,90.86645083333333,2181,287.79407407407405,135
41,700,1099,810.1428571428571,27,7,185,3999,259.2281250000001,405,128,37.17522362268519,892,90.82477637731482,2180,287.7940740740741,135
42,700,1099,810.1428571428571,27,7,185,3999,259.77724409448825,404,127,37.216882569444444,893,90.78311743055555,2179,288.52768656716415,134
43,700,1099,810.1428571428571,27,7,185,3999,259.77724409448825,404,127,37.25855197916667,894,90.74144802083333,2178,288.52768656716415,134
44,700,1099,810.1428571428571,27,7,185,3999,259.77724409448825,404,127,37.30024542824074,895,90.69975457175926,2177,288.5276865671642,134
45,700,1099,810.1428571428571,27,7,185,3999,259.77724409448825,404,127,37.341887094907406,896,90.6581129050926,2176,288.52768656716415,134
46,700,1099,810.1428571428571,27,7,185,3999,259.77724409448825,402,127,37.50598478009259,900,90.49401521990741,2172,288.52768656716415,134
47,700,1099,810.1428571428571,27,7,185,3999,260.2922222222223,401,126,37.54764950231481,901,90.45235049768519,2171,289.2317293233083,133
49,700,1099,810.1428571428571,27,7,179,3999,258.57224806201555,406,129,37.70310710648148,905,90.29689289351852,2167,286.96191176470586,136
50,700,1099,810.1428571428571,27,7,179,3999,258.57224806201555,406,129,37.70659128472222,905,90.29340871527778,2167,286.96191176470586,136
51,700,1099,810.1428571428571,27,7,179,3999,258.57224806201555,406,129,37.74825915509259,906,90.2517408449074,2166,286.96191176470586,136
52,700,1099,810.1428571428571,27,7,179,3999,258.57224806201555,405,129,37.7899284375,907,90.2100715625,2165,286.9619117647059,136
53,700,1099,810.1428571428571,27,7,179,3999,258.57224806201555,405,129,37.83159574074074,908,90.16840425925926,2164,286.9619117647059,136
54,700,1099,810.1428571428571,27,7,179,3999,258.611007751938,405,129,37.87325861111111,909,90.12674138888889,2163,286.9986764705883,136
55,700,1099,810.1428571428571,27,7,185,3999,259.77811023622047,403,127,37.91492616898148,910,90.08507383101852,2162,288.52850746268655,134
56,700,1099,810.1428571428571,27,7,183,3999,260.1653174603175,402,126,37.95659511574074,911,90.04340488425926,2161,289.1115037593985,133
57,700,1099,810.1428571428571,27,7,183,3999,260.16531746031745,402,126,37.998263298611114,912,90.0017367013889,2160,289.1115037593985,133
58,700,1099,810.1428571428571,27,7,183,3999,260.68664000000007,401,125,38.03999872685185,913,89.96000127314815,2159,289.8244696969697,132
59,700,1099,810.1428571428571,27,7,183,3999,260.61464000000007,401,125,38.08159888888889,914,89.91840111111111,2158,289.7562878787879,132
60,700,1099,810.1428571428571,27,7,183,3999,260.61464000000007,401,125,38.12326083333333,915,89.87673916666667,2157,289.7562878787879,132
61,700,1099,810.1428571428571,27,7,183,3999,260.61464000000007,401,125,38.12350505787037,915,89.87649494212963,2157,289.7562878787879,132
62,700,1099,810.1428571428571,27,7,183,3999,260.61464000000007,401,125,38.16493504629629,916,89.83506495370371,2156,289.7562878787879,132
63,700,1099,810.1428571428571,27,7,183,3999,260.61464000000007,401,125,38.20659547453704,917,89.79340452546296,2155,289.7562878787879,132
64,700,1099,810.1428571428571,27,7,183,3999,260.61464000000007,401,125,38.24827329861111,918,89.75172670138889,2154,289.7562878787879,132
65,700,1099,810.1428571428571,27,7,183,3999,260.61464000000007,401,125,38.28993642361111,919,89.71006357638889,2153,289.7562878787879,132
66,700,1099,810.1428571428571,27,7,183,3999,260.61464000000007,401,125,38.33159667824074,920,89.66840332175926,2152,289.7562878787879,132
67,700,1099,810.1428571428571,27,7,183,3999,260.61464000000007,401,125,38.373269398148146,921,89.62673060185185,2151,289.7562878787879,132
68,700,1099,810.1428571428571,27,7,183,3999,261.1921774193549,400,124,38.414936122685184,922,89.58506387731481,2150,290.52541984732824,131
69,700,1099,810.1428571428571,27,7,183,3999,261.1921774193549,398,124,38.456604409722225,923,89.54339559027778,2149,290.52541984732824,131
70,700,1099,810.1428571428571,27,7,183,3999,261.1921774193549,400,124,38.49827040509259,924,89.5017295949074,2148,290.52541984732824,131
71,700,1099,810.1428571428571,27,7,190,3999,262.8911570247934,393,121,38.53994054398148,925,89.46005945601851,2147,292.818984375,128
72,700,1099,810.1428571428571,27,7,190,3999,262.8911570247935,393,121,38.581600208333334,926,89.41839979166667,2146,292.818984375,128
73,700,1099,810.1428571428571,27,7,190,3999,262.80851239669425,393,121,38.623265902777774,927,89.37673409722223,2145,292.740859375,128
74,700,1099,810.1428571428571,27,7,190,3999,262.80851239669425,393,121,38.66494041666667,928,89.33505958333333,2144,292.740859375,128
75,700,1099,810.1428571428571,27,7,190,3999,262.80851239669425,393,121,38.706601909722224,929,89.29339809027778,2143,292.740859375,128
76,700,1099,810.1428571428571,27,7,190,3999,262.8085123966943,393,121,38.74826775462963,930,89.25173224537038,2142,292.740859375,128
77,700,1099,810.1428571428571,27,7,190,3999,262.80851239669425,393,121,38.78996287037037,931,89.21003712962963,2141,292.740859375,128
78,700,1099,810.1428571428571,27,7,190,3999,262.8085123966943,393,121,38.83160353009259,932,89.1683964699074,2140,292.740859375,128
79,700,1099,810.1428571428571,27,7,190,3999,262.8085123966943,393,121,38.873270219907404,933,89.12672978009259,2139,292.740859375,128
80,700,1099,810.1428571428571,27,7,190,3999,262.80851239669425,393,121,38.91493215277778,934,89.08506784722222,2138,292.740859375,128
81,700,1099,810.1428571428571,27,7,190,3999,263.3735833333334,391,120,38.956601990740744,935,89.04339800925926,2137,293.5104724409449,127
82,700,1099,810.1428571428571,27,7,190,3999,263.3735833333334,391,120,38.99826863425926,936,89.00173136574074,2136,293.5104724409449,127
83,700,1099,810.1428571428571,27,7,190,3999,263.37358333333333,391,120,39.039935775462965,937,88.96006422453704,2135,293.5104724409449,127
84,700,1099,810.1428571428571,27,7,190,3999,263.37358333333333,391,120,39.08160946759259,938,88.9183905324074,2134,293.5104724409449,127
85,700,1099,810.1428571428571,27,7,190,3999,263.37358333333333,391,120,39.12326615740741,939,88.87673384259259,2133,293.5104724409449,127
86,700,1099,810.1428571428571,27,7,190,3999,263.3735833333334,391,120,39.164931261574075,940,88.83506873842593,2132,293.51047244094497,127
87,700,1099,810.1428571428571,27,7,190,3999,263.3735833333334,391,120,39.2066309375,941,88.7933690625,2131,293.5104724409449,127
88,700,1099,810.1428571428571,27,7,190,3999,263.3735833333334,391,120,39.248267025462965,942,88.75173297453703,2130,293.5104724409449,127
89,700,1099,810.1428571428571,27,7,190,3999,263.3735833333334,391,120,39.289936921296295,943,88.7100630787037,2129,293.5104724409449,127
90,700,1099,810.1428571428571,27,7,190,3999,263.37358333333333,391,120,39.33160363425926,944,88.66839636574075,2128,293.5104724409449,127
91,700,1099,810.1428571428571,27,7,190,3999,263.3735833333334,391,120,39.37327542824074,945,88.62672457175925,2127,293.5104724409449,127
92,700,1099,810.1428571428571,27,7,190,3999,263.3735833333334,391,120,39.414938900462964,946,88.58506109953704,2126,293.5104724409449,127
93,700,1099,810.1428571428571,27,7,190,3999,263.37358333333333,391,120,39.45660287037037,947,88.54339712962962,2125,293.5104724409449,127
94,700,1099,810.1428571428571,27,7,190,3999,263.3735833333334,391,120,39.498274305555555,948,88.50172569444445,2124,293.5104724409449,127
95,700,1099,810.1428571428571,27,7,190,3999,263.37358333333333,390,120,39.53993896990741,949,88.46006103009259,2123,293.51047244094497,127
96,700,1099,810.1428571428571,27,7,190,3999,263.3735833333334,390,120,39.581607453703704,950,88.4183925462963,2122,293.5104724409449,127
97,700,1099,810.1428571428571,27,7,190,3999,262.7671074380166,391,121,39.623301967592596,951,88.3766980324074,2121,292.70171875000005,128
98,700,1099,810.1428571428571,27,7,190,3999,262.51917355371904,389,121,39.664937430555554,952,88.33506256944445,2120,292.46734375,128
99,700,1099,810.1428571428571,27,7,190,3999,262.46516666666673,387,120,40.40949790509259,970,87.59050209490741,2102,292.65212598425194,127
100,700,1099,810.1428571428571,27,7,190,3999,262.46516666666673,386,120,40.451164097222225,971,87.54883590277778,2101,292.65212598425194,127
101,700,1099,810.1428571428571,27,7,190,3999,261.9076033057852,388,121,40.492839733796295,972,87.5071602662037,2100,291.88921875,128
102,700,1099,810.1428571428571,27,7,190,3999,261.9076033057852,388,121,40.53450085648148,973,87.46549914351851,2099,291.88921875,128
103,700,1099,810.1428571428571,27,7,190,3999,261.90760330578513,388,121,40.57616039351852,974,87.42383960648148,2098,291.88921875000005,128
104,700,1099,810.1428571428571,27,7,190,3999,261.90760330578513,388,121,40.617848171296295,975,87.3821518287037,2097,291.88921875,128
