Increment,obs`,count,obsMax,obsMin,gaminSUM,ganumSum,vipminSUM,vipnumSum,ga-min,GA num,VIP min,VIP num,min t-1,T-5,T-10,buy 
12,1,8,12,24,3093,209,4975,135,386.625,26.125,621.875,16.875,,,,1
Threshold Perc,2,8,24,36,3266,227,5562,111,408.25,28.375,695.25,13.875,-21.625,,,1
5,3,8,36,48,4898,48,710,4,612.25,6,88.75,0.5,-204,,,1
Threshold,4,8,48,60,4873.69,285,2779,50,609.21125,35.625,347.375,6.25,3.03875,,,1
273,5,8,60,72,2073,1087,4950,215,259.125,135.875,618.75,26.875,350.08625,,,0
,6,8,72,84,2362.97,1088,5355,238,295.37125,136,669.375,29.75,-36.24625,91.25375,,1
,7,8,84,96,2346,1146,5540,283,293.25,143.25,692.5,35.375,2.12125,115,,1
,8,8,96,108,2332,1164,5540,288,291.5,145.5,692.5,36,1.75,320.75,,1
,9,8,108,120,2399,1150,5569,312,299.875,143.75,696.125,39,-8.375,309.33625,,1
,10,8,120,132,2460,1142,5590,321,307.5,142.75,698.75,40.125,-7.625,-48.375,,1
,11,8,132,144,2435,1168,5600,296,304.375,146,700,37,3.125,-9.00375,82.25,1
,12,8,144,156,2431,1208,5575,277,303.875,151,696.875,34.625,0.5,-10.625,104.375,1
,13,8,156,168,2364,1225,5600,315,295.5,153.125,700,39.375,8.375,-4,316.75,1
,14,8,168,180,2430,1307,5450,367,303.75,163.375,681.25,45.875,-8.25,-3.875,305.46125,1
,15,8,180,192,2406.96,1394,5600,392,300.87,174.25,700,49,2.88,6.63,-41.745,1
,16,8,192,204,2344.92,1438,5487,399,293.115,179.75,685.875,49.875,7.755,11.26,2.25625,1
,17,8,204,216,2315,1500,5483,424,289.375,187.5,685.375,53,3.74,14.5,3.875,1
,18,22,216,228,6149,4435,15350,1024,279.5,201.5909091,697.7272727,46.54545455,9.875,16,12,1
,19,36,228,240,9906,8018,24000,1626,275.1666667,222.7222222,666.6666667,45.16666667,4.333333333,28.58333333,24.70833333,1
,20,36,240,252,9280.92,9151,24591,1726,257.8033333,254.1944444,683.0833333,47.94444444,17.36333333,43.06666667,49.69666667,0
,21,36,252,264,8935,9328,25200,1862,248.1944444,259.1111111,700,51.72222222,9.608888889,44.92055556,56.18055556,0
,22,36,264,276,9244.91,9458,26100,1826,256.8030556,262.7222222,725,50.72222222,-8.608611111,32.57194444,47.07194444,0
,23,36,276,288,9181.64,9408,26820,1668,255.0455556,261.3333333,745,46.33333333,1.7575,24.45444444,40.45444444,0
,24,36,288,300,8929.9,9392,26888,1642,248.0527778,260.8888889,746.8888889,45.61111111,6.992777778,27.11388889,55.69722222,0
,25,36,300,312,8800,9298,26425,1642,244.4444444,258.2777778,734.0277778,45.61111111,3.608333333,13.35888889,56.42555556,0
,26,57,312,324,14182.97,14650,39900,2538,248.8240351,257.0175439,700,44.52631579,-4.379590643,-0.629590643,44.29096491,0
,27,13,324,336,3078,3403,9100,559,236.7692308,261.7692308,700,43,12.05480432,20.03382479,52.60576923,0
,28,5,336,348,1200,1310,3500,215,240,262,700,43,-3.230769231,15.04555556,39.5,0
,32,2,384,396,543,485,1700,68,271.5,242.5,850,34,#REF!,-34.73076923,-14.69694444,0
,33,12,396,408,3322,2848,10200,419,276.8333333,237.3333333,850,34.91666667,-5.333333333,-36.83333333,-21.78777778,1
,34,12,408,420,3262,2817,11300,366,271.8333333,234.75,941.6666667,30.5,5,#REF!,-23.78055556,0
,35,12,420,432,3303,2786,11880,312,275.25,232.1666667,990,26,-3.416666667,#REF!,-30.80555556,1
,36,9,432,444,2438,2084,8910,232,270.8888889,231.5555556,990,25.77777778,4.361111111,#REF!,-22.0648538,0
,39,7,468,480,1946,1575,6685,168,278,225,955,24,#REF!,-6.166666667,#REF!,1
,40,8,480,492,2193,1833,7755,192,274.125,229.125,969.375,24,3.875,1.125,#REF!,1
,46,2,552,564,545,397,1900,44,272.5,198.5,950,22,#REF!,#REF!,-1.611111111,0
,47,12,564,576,3300,2374,11370,253,275,197.8333333,947.5,21.08333333,-2.5,#REF!,#REF!,1
,48,12,576,588,3310,2313,11340,260,275.8333333,192.75,945,21.66666667,-0.833333333,#REF!,#REF!,1
,49,12,588,600,3434,2191,11340,276,286.1666667,182.5833333,945,23,-10.33333333,#REF!,-8.166666667,1
,50,10,600,612,2938,1763,9450,230,293.8,176.3,945,23,-7.633333333,#REF!,-19.675,1
,51,12,612,624,3300,2082,11340,276,275,173.5,945,23,18.8,-2.5,#REF!,1
,52,12,624,636,3361.67,2072,11340,276,280.1391667,172.6666667,945,23,-5.139166667,-5.139166667,#REF!,1
,53,12,636,648,3378.89,2095,11340,276,281.5741667,174.5833333,945,23,-1.435,-5.740833333,#REF!,1
