counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings,INC,obs`,count,obsMax,obsMin,gaminSUM,ganumSum,vipminSUM,vipnumSum,ga-min,GA num,VIP min,VIP num,T-1,T-5,T-10,buy ,,Threshold Function
1,150,499,220.3214815,130,27,390,500,438.3333333,9,3,65.92596597,1582,38.03236736,913,242.1226667,30,6,1,4,6,12,1033,409,798,2,258.25,102.25,199.5,0.5,,,,0,,205
1,150,499,220.3214815,130,27,390,500,438.3333333,9,3,65.9309622,1582,38.02737113,913,242.1226667,30,Threshold Perc,2,4,12,18,1118.97,402,399,1,279.7425,100.5,99.75,0.25,21.4925,,,1,,204.4875
2,150,499,220.3214815,130,27,390,500,438.3333333,9,3,65.93114659,1582,38.02718675,913,242.1226667,30,5,3,4,18,24,1125.99,404,0,0,281.4975,101,0,0,1.755,,,1,,203.9762813
3,150,499,220.3214815,130,27,390,500,438.3333333,9,3,65.9330728,1582,38.02526053,913,242.1226667,30,Threshold,4,4,24,30,1161.5,408,0,0,290.375,102,0,0,8.8775,,,1,,203.4663405
4,150,499,220.3214815,130,27,390,500,438.3333333,9,3,65.93455183,1582,38.0237815,913,242.1226667,30,262.5,5,4,30,36,1083.77,430,0,0,270.9425,107.5,0,0,-19.4325,,,1,,202.9576747
5,150,499,220.3214815,130,27,390,500,438.3333333,9,3,65.93459324,1582,38.02374009,913,242.1226667,30,Base,6,4,36,42,884.93,437,350,4,221.2325,109.25,87.5,1,-49.71,7,,0,,202.4502805
6,150,499,220.3214815,130,27,390,500,438.3333333,9,3,65.93464086,1582,38.02369248,913,242.1226667,30,250,7,4,42,48,722,365,1300,22,180.5,91.25,325,5.5,-40.7325,-9.25,,0,,201.9441548
7,150,499,220.3214815,130,27,390,500,438.3333333,9,3,65.93468792,1582,38.02364542,913,242.1226667,30,Slope of Thresh,8,4,48,54,779.1,375,1447,20,194.775,93.75,361.75,5,14.275,-7.25,,0,,201.4392944
8,150,499,220.3214815,130,27,390,500,438.3333333,9,3,65.93472681,1582,38.02360653,913,242.1226667,30,-0.25,9,4,54,60,822.21,366,1596,15,205.5525,91.5,399,3.75,10.7775,-10.5,,0,,200.9356962
9,150,499,220.3214815,130,27,390,500,438.3333333,9,3,65.93519215,1582,38.02314118,913,242.1226667,30,Y IN,10,4,60,66,776.68,341,1596,10,194.17,85.25,399,2.5,-11.3825,-22.25,,0,,200.4333569
