counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings,INC,obs`,count,obsMax,obsMin,gaminSUM,ganumSum,vipminSUM,vipnumSum,ga-min,GA num,VIP min,VIP num,T-1,T-5,T-10,buy ,,Threshold Function
1,260,499,322.4853571,80,28,700,700,700,2,1,65.9259665,1582,38.03236683,913,335.5031034,29,6,1,4,6,12,1742,79,2100,4,435.5,19.75,525,1,,,,0,,100
1,260,499,322.4853571,80,28,700,700,700,2,1,65.9309623,1582,38.02737103,913,335.5031034,29,Threshold Perc,2,4,12,18,1852.99,85,1800,2,463.2475,21.25,450,0.5,27.7475,,,0,,99.75
2,260,499,322.4853571,80,28,700,700,700,2,1,65.93114602,1582,38.02718731,913,335.5031034,29,5,3,4,18,24,2319.96,64,0,0,579.99,16,0,0,116.7425,,,0,,99.500625
3,270,499,324.7996296,79,27,700,700,700,2,1,65.93307303,1582,38.0252603,913,338.1996429,28,Threshold,4,4,24,30,2328.98,69,0,0,582.245,17.25,0,0,2.255,,,0,,99.25187344
4,270,499,324.7996296,79,27,700,700,700,2,1,65.93455179,1582,38.02378154,913,338.1996429,28,105,5,4,30,36,2187.49,78,0,0,546.8725,19.5,0,0,-35.3725,,,0,,99.00374375
5,270,499,324.7996296,79,27,700,700,700,2,1,65.93460569,1582,38.02372764,913,338.1996429,28,Base,6,4,36,42,1976.5,90,500,2,494.125,22.5,125,0.5,-52.7475,2.75,,0,,98.75623439
6,270,499,324.7996296,79,27,700,700,700,2,1,65.93464058,1582,38.02369275,913,338.1996429,28,100,7,4,42,48,1310,150,2250,9,327.5,37.5,562.5,2.25,-166.625,16.25,,0,,98.50934381
7,270,499,324.7996296,79,27,700,700,700,2,1,65.93468786,1582,38.02364547,913,338.1996429,28,Slope of Thresh,8,4,48,54,1303,134,3255,9,325.75,33.5,813.75,2.25,-1.75,17.5,,0,,98.26307045
8,270,499,324.7996296,79,27,700,700,700,2,1,65.93474252,1582,38.02359081,913,338.1996429,28,-0.25,9,4,54,60,1412,137,2505,22,353,34.25,626.25,5.5,27.25,17,,0,,98.01741277
9,270,499,324.7996296,79,27,700,700,700,2,1,65.93519218,1582,38.02314116,913,338.1996429,28,Y IN,10,4,60,66,1184,165,3210,17,296,41.25,802.5,4.25,-57,21.75,,0,,97.77236924
10,270,499,324.7996296,79,27,700,700,700,2,1,65.93565587,1582,38.02267747,913,338.1996429,28,100,11,4,66,72,1015,203,3350,20,253.75,50.75,837.5,5,-42.25,28.25,-181.75,0,,97.52793832
11,270,499,324.7996296,79,27,700,700,700,2,1,65.93612162,1582,38.02221171,913,338.1996429,28,,12,4,72,78,960,212,2989.98,28,240,53,747.495,7,-13.75,15.5,-223.2475,0,,97.28411847
12,270,499,324.7996296,79,27,700,700,700,2,1,65.93658083,1582,38.0217525,913,338.1996429,28,,13,4,78,84,1040,223,3149.96,28,260,55.75,787.49,7,20,22.25,-319.99,0,,97.04090818
13,250,499,323.0033333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.48670753,1596,37.4716258,899,323.0033333,27,,14,4,84,90,1080,211,3199.96,28,270,52.75,799.99,7,10,18.5,-312.245,0,,96.79830591
13,264.98,9999,655.2186842,96,38,559,610.4,588.2316667,32,6,66.48670716,1596,37.47162617,899,646.0840909,44,,15,4,90,96,1093,202,3199.96,28,273.25,50.5,799.99,7,3.25,9.25,-273.6225,0,,96.55631014
14,250,499,323.0033333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.48797297,1596,37.47036036,899,323.0033333,27,,16,4,96,102,1100.8,234,3199.96,28,275.2,58.5,799.99,7,1.95,7.75,-218.925,0,,96.31491937
14,264.98,9999,655.2186842,96,38,559,610.4,588.2316667,32,6,66.48797353,1596,37.4703598,899,646.0840909,44,,17,4,102,108,1011.9,290,3199.96,28,252.975,72.5,799.99,7,-22.225,19.5,-74.525,0,,96.07413207
14,250,499,323.0033333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.48797442,1596,37.47035891,899,323.0033333,27,,18,4,108,114,1017,287,3199.96,22,254.25,71.75,799.99,5.5,1.275,16,-71.5,0,,95.83394674
14,264.98,9999,655.2186842,96,38,559,610.4,588.2316667,32,6,66.48797521,1596,37.47035813,899,646.0840909,44,,19,4,114,120,1040,263,3199.96,20,260,65.75,799.99,5,5.75,13,-93,0,,95.59436187
15,250,499,323.0033333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.48802579,1596,37.47030755,899,323.0033333,27,,20,4,120,126,1040,260,3199.96,20,260,65,799.99,5,0,14.5,-36,0,,95.35537597
15,264.98,9999,655.2186842,96,38,559,610.4,588.2316667,32,6,66.48802603,1596,37.4703073,899,646.0840909,44,,21,4,126,132,985,265,3199.96,20,246.25,66.25,799.99,5,-13.75,7.75,-7.5,0,,95.11698753
16,250,499,323.0033333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.48806299,1596,37.47027035,899,323.0033333,27,,22,4,132,138,985,278,3299.96,20,246.25,69.5,824.99,5,0,-3,6.25,0,,94.87919506
16,264.98,9999,655.2186842,96,38,559,610.4,588.2316667,32,6,66.48808044,1596,37.47025289,899,646.0840909,44,,23,4,138,144,974.99,308,3599.96,17,243.7475,77,899.99,4.25,-2.5025,5.25,-16.2525,0,,94.64199707
16,264.98,9999,655.2186842,96,38,559,610.4,588.2316667,32,6,66.48808683,1596,37.4702465,899,646.0840909,44,,24,4,144,150,920,332,3599.96,16,230,83,899.99,4,-13.7475,17.25,-40,0,,94.40539208
16,250,499,323.0033333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.48808723,1596,37.4702461,899,323.0033333,27,,25,4,150,156,920,320,3599.96,16,230,80,899.99,4,0,15,-43.25,0,,94.1693786
17,250,499,323.0033333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.48813081,1596,37.47020252,899,323.0033333,27,,26,4,156,162,970,324,3599.96,16,242.5,81,899.99,4,12.5,14.75,-32.7,0,,93.93395515
17,264.98,9999,655.2186842,96,38,559,610.4,588.2316667,32,6,66.48813109,1596,37.47020225,899,646.0840909,44,,27,4,162,168,1009.98,319,3699.96,16,252.495,79.75,924.99,4,9.995,10.25,-0.48,0,,93.69912026
19,250,499,323.0033333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.4891891,1596,37.46914424,899,323.0033333,27,,28,4,168,174,999.97,327,3799.96,16,249.9925,81.75,949.99,4,-2.5025,4.75,-4.2575,0,,93.46487246
19,264.98,9999,655.2186842,96,38,559,610.4,588.2316667,32,6,66.48920825,1596,37.46912508,899,646.0840909,44,,29,4,174,180,922.99,353,3046.99,18,230.7475,88.25,761.7475,4.5,-19.245,5.25,-29.2525,0,,93.23121028
20,250,499,323.0033333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.49048928,1596,37.46784405,899,323.0033333,27,,30,4,180,186,900,352,2882,20,225,88,720.5,5,-5.7475,8,-35,0,,92.99813225
21,250,499,323.0033333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.49241091,1596,37.46592242,899,323.0033333,27,,31,4,186,192,896,360,3205,20,224,90,801.25,5,-1,9,-22.25,0,,92.76563692
22,250,499,323.0033333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.4925838,1596,37.46574954,899,323.0033333,27,,32,4,192,198,814,379,3750,16,203.5,94.75,937.5,4,-20.5,15,-42.75,0,,92.53372283
23,250,499,323.0033333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.4927773,1596,37.46555603,899,323.0033333,27,,33,4,198,204,874.5,425,4199.97,12,218.625,106.25,1049.9925,3,15.125,24.5,-25.1225,0,,92.30238852
24,250,499,323.0033333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.49384962,1596,37.46448372,899,323.0033333,27,,34,4,204,210,875.49,466,3999.96,16,218.8725,116.5,999.99,4,0.2475,28.25,-11.1275,0,,92.07163255
25,250,499,323.0033333,77,27,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.49802432,1596,37.46030902,899,323.0033333,27,,35,4,210,216,876,440,3849.99,19,219,110,962.4975,4.75,0.1275,22,-11,0,,91.84145347
26,245,499,320.2175,79,28,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.50219035,1596,37.45614299,899,320.2175,28,,36,7,216,222,1511,815,6649.99,35,215.8571429,116.4285714,949.9985714,5,-3.142857143,26.42857143,-26.64285714,0,,91.61184984
27,245,499,320.2175,79,28,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.51063339,1596,37.44769994,899,320.2175,28,,37,16,222,228,3516.99,1943,13010,85,219.811875,121.4375,813.125,5.3125,3.954732143,26.6875,-32.683125,0,,91.38282021
28,244,499,315.2125806,85,31,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.6892744,1601,37.26905894,894,315.2125806,31,,38,18,228,234,3902.98,2312,12215,158,216.8322222,128.4444444,678.6111111,8.777777778,-2.979652778,22.19444444,-33.16027778,0,,91.15436316
33,244,499,315.2125806,85,31,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.69451201,1601,37.26382132,894,315.2125806,31,,39,18,234,240,4016.49,2398,12960,141,223.1383333,133.2222222,720,7.833333333,6.306111111,16.72222222,-7.609166667,0,,90.92647725
34,244,499,315.2125806,85,31,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.69666166,1601,37.26167168,894,315.2125806,31,,40,18,240,246,3957.94,2430,15200,108,219.8855556,135,844.4444444,6,-3.252777778,25,-5.114444444,0,,90.69916106
35,244,499,315.2125806,85,31,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.70083418,1601,37.25749916,894,315.2125806,31,,41,18,246,252,3960,2405,15300,108,220,133.6111111,850,6,0.114444444,17.18253968,-4,0,,90.47241316
36,244,499,315.2125806,85,31,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.70501538,1601,37.25331795,894,315.2125806,31,,42,18,252,258,4116,2394,15300,108,228.6666667,133,850,6,8.666666667,11.5625,25.16666667,0,,90.24623213
37,245,499,317.5863333,84,30,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.7091612,1601,37.24917213,894,317.5863333,30,,43,18,258,264,4159,2590,13950,134,231.0555556,143.8888889,775,7.444444444,2.388888889,15.44444444,12.43055556,0,,90.02061655
39,245,499,317.5863333,84,30,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.71332839,1601,37.24500494,894,317.5863333,30,,44,18,264,270,3980.97,2757,11250,248,221.165,153.1666667,625,13.77777778,-9.890555556,19.94444444,2.2925,0,,89.795565
48,245,499,317.5863333,84,30,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,66.74985377,1602,37.20847956,893,317.5863333,30,,45,18,270,276,4140,2626,11250,234,230,145.8888889,625,13,8.835,10.88888889,11,0,,89.57107609
57,278,499,323.4234375,110,32,599,599,599,6,1,67.78416024,1627,36.17417309,868,331.7742424,33,,46,18,276,282,4256.92,2626,11250,234,236.4955556,145.8888889,625,13,6.495555556,12.27777778,20.6384127,0,,89.3471484
59,277.99,499,322.7059375,109,32,599,599,599,6,1,67.95403196,1631,36.00430138,864,331.0784848,33,,47,18,282,288,4296.98,2758,11250,234,238.7211111,153.2222222,625,13,2.225555556,20.22222222,18.90923611,0,,89.12378053
60,277.99,499,322.7059375,109,32,599,599,599,6,1,67.95822147,1631,36.00011186,864,331.0784848,33,,48,18,288,294,4314.94,2813,11250,234,239.7188889,156.2777778,625,13,0.997777778,12.38888889,22.88666667,0,,88.90097108
61,277.99,499,322.7059375,109,32,599,599,599,6,1,67.96620247,1631,35.99213087,864,331.0784848,33,,49,18,294,300,4320,2753,11250,234,240,152.9444444,625,13,0.281111111,-0.222222222,16.86166667,0,,88.67871865
62,277.99,499,321.4559375,109,32,599,599,599,6,1,68.00789211,1632,35.95044123,863,329.8663636,33,,50,18,300,306,4320,2769,11250,234,240,153.8333333,625,13,0,7.944444444,20.11444444,0,,88.45702185
63,277.99,499,321.4559375,109,32,599,599,599,6,1,68.04951815,1633,35.90881519,862,329.8663636,33,,51,18,306,312,4317.91,2798,11399.94,234,239.8838889,155.4444444,633.33,13,-0.116111111,9.555555556,19.88388889,0,,88.2358793
64,277.99,499,321.4559375,109,32,599,599,599,6,1,68.09120579,1634,35.86712755,861,329.8663636,33,,52,16,312,318,3832.86,2517,10399.96,208,239.55375,157.3125,649.9975,13,-0.330138889,4.090277778,10.88708333,0,,88.0152896
66,277.99,499,321.4559375,109,32,599,599,599,6,1,68.1328645,1635,35.82546883,860,329.8663636,33,,53,41,318,324,9314.79,6658,26685,530,227.19,162.3902439,650.8536585,12.92682927,-12.36375,6.112466125,-3.865555556,0,,87.79525138
67,277.99,499,321.4559375,109,32,599,599,599,6,1,68.17452816,1636,35.78380517,859,329.8663636,33,,54,6,324,330,1380,996,4110,60,230,166,685,10,2.81,13.05555556,8.835,0,,87.57576325
68,277.99,499,321.4559375,107,32,599,599,599,6,1,68.21618265,1637,35.74215068,858,329.8663636,33,,55,7,330,336,1610,1162,4795,70,230,166,685,10,0,12.16666667,0,0,,87.35682384
69,277.99,499,321.4559375,105,32,599,599,599,6,1,68.25785891,1638,35.70047442,857,329.8663636,33,,56,5,336,342,1165,830,3425,50,233,166,685,10,3,10.55555556,-3.495555556,0,,87.13843178
70,277.99,499,321.4559375,105,32,599,599,599,6,1,68.29951793,1639,35.65881541,856,329.8663636,33,,57,0,342,348,0,0,0,0,0,0,0,0,-233,-157.3125,-238.7211111,1,,86.9205857
72,275,499,324.232069,100,29,599,599,599,6,1,68.46366528,1643,35.49466806,852,333.391,30,,58,0,348,354,0,0,0,0,0,0,0,0,0,-162.3902439,-239.7188889,1,,86.70328424
73,275,499,325.2665517,100,29,599,600,599.5,7,2,68.50529242,1644,35.45304091,851,342.9590323,31,,59,0,354,360,0,0,0,0,0,0,0,0,0,-166,-240,1,,86.48652603
75,275,499,326.23125,102,32,599,600,599.5,7,2,68.62786453,1647,35.33046881,848,342.3058824,34,,60,0,360,366,0,0,0,0,0,0,0,0,0,-166,-240,1,,86.27030971
76,275,499,326.23125,102,32,599,600,599.5,7,2,68.62803289,1647,35.33030044,848,342.3058824,34,,61,0,366,372,0,0,0,0,0,0,0,0,0,-166,-239.8838889,1,,86.05463394
77,275,499,326.23125,102,32,599,600,599.5,7,2,68.62818902,1647,35.33014432,848,342.3058824,34,,62,0,372,378,0,0,0,0,0,0,0,0,0,0,-239.55375,1,,85.83949735
79,275,499,326.23125,102,32,599,600,599.5,7,2,68.66071963,1648,35.2976137,847,342.3058824,34,,63,0,378,384,0,0,0,0,0,0,0,0,0,0,-227.19,1,,85.62489861
80,275,499,326.23125,102,32,599,600,599.5,7,2,68.66421469,1648,35.29411865,847,342.3058824,34,,64,0,384,390,0,0,0,0,0,0,0,0,0,0,-230,1,,85.41083636
81,275,499,326.330625,102,32,570,599,584.5,7,2,68.70589821,1649,35.25243513,846,341.5170588,34,,65,2,390,396,460,332,1370,20,230,166,685,10,230,166,0,0,,85.19730927
82,274,499,324.7448485,103,33,570,599,584.5,7,2,68.74756397,1650,35.21076936,845,339.588,35,,66,6,396,402,1385,996,4110,60,230.8333333,166,685,10,0.833333333,166,-2.166666667,0,,84.984316
83,274,499,324.7448485,103,33,570,599,584.5,7,2,68.78923096,1651,35.16910237,844,339.588,35,,67,6,402,408,1410,996,4110,60,235,166,685,10,4.166666667,166,235,0,,84.77185521
84,274,499,324.7448485,103,33,570,599,584.5,7,2,68.8308916,1652,35.12744174,843,339.588,35,,68,6,408,414,1434.95,1002,4110,56,239.1583333,167,685,9.333333333,4.158333333,167,239.1583333,0,,84.55992557
86,274,499,324.3111765,104,34,570,599,584.5,7,2,68.87257039,1653,35.08576294,842,338.7661111,36,,69,6,414,420,1439.94,1002,4110,54,239.99,167,685,9,0.831666667,167,239.99,0,,84.34852576
87,274,499,323.7523529,104,34,570,599,584.5,7,2,68.91424397,1654,35.04408936,841,338.2383333,36,,70,6,420,426,1439.94,1002,4110,54,239.99,167,685,9,0,1,239.99,0,,84.13765444
88,274,499,323.7523529,104,34,570,599,584.5,7,2,68.95593492,1655,35.00239841,840,338.2383333,36,,71,6,426,432,1439.94,1002,4220,54,239.99,167,703.3333333,9,0,1,239.99,0,,83.92731031
89,274,499,323.7523529,104,34,570,599,584.5,7,2,68.99763006,1656,34.96070328,839,338.2383333,36,,72,6,432,438,1439.94,1002,4660,54,239.99,167,776.6666667,9,0,1,239.99,0,,83.71749203
90,274,499,323.7523529,104,34,570,599,584.5,7,2,69.03925308,1657,34.91908025,838,338.2383333,36,,73,3,438,444,719.97,501,2385,27,239.99,167,795,9,0,0,239.99,0,,83.5081983
92,274,499,323.7523529,104,34,570,599,584.5,7,2,69.08092752,1658,34.87740581,837,338.2383333,36,,74,0,444,450,0,0,0,0,0,0,0,0,-239.99,-167,0,1,,83.29942781
93,274,499,323.7523529,104,34,570,599,584.5,7,2,69.08123564,1658,34.8770977,837,338.2383333,36,,75,0,450,456,0,0,0,0,0,0,0,0,0,-167,-230,1,,83.09117924
94,274,499,323.7523529,104,34,570,599,584.5,7,2,69.12258359,1659,34.83574975,836,338.2383333,36,,76,0,456,462,0,0,0,0,0,0,0,0,0,-167,-230.8333333,1,,82.88345129
95,274,499,323.7523529,104,34,570,599,584.5,7,2,69.16423519,1660,34.79409815,835,338.2383333,36,,77,0,462,468,0,0,0,0,0,0,0,0,0,-167,-235,1,,82.67624266
96,274,499,323.7523529,104,34,570,599,584.5,7,2,69.20590138,1661,34.75243196,834,338.2383333,36,,78,0,468,474,0,0,0,0,0,0,0,0,0,-167,-239.1583333,1,,82.46955205
97,274,499,323.7523529,104,34,570,599,584.5,7,2,69.24755863,1662,34.7107747,833,338.2383333,36,,79,7,474,480,1679.93,1169,5455,63,239.99,167,779.2857143,9,239.99,167,0,0,,82.26337817
