counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,178.99,3999,250.53421428571428,1168,280,700,1399,914.8333333333334,21,6,34.967633148148145,839,93.03236685185185,2233,264.47055944055944,286
1,178.99,3999,250.5342142857142,1168,280,700,1399,914.8333333333334,21,6,34.97262883101852,839,93.02737116898147,2233,264.4705594405594,286
2,178.99,3999,250.5342142857142,1168,280,700,1399,914.8333333333334,21,6,34.97281320601852,839,93.02718679398149,2233,264.4705594405594,286
3,178.99,3999,250.5342142857142,1168,280,700,1399,914.8333333333334,21,6,34.97473958333333,839,93.02526041666667,2233,264.47055944055944,286
4,178.99,3999,250.53421428571428,1168,280,700,1399,914.8333333333334,21,6,34.97621831018518,839,93.02378168981481,2233,264.47055944055944,286
5,178.99,3999,250.53421428571428,1168,280,700,1399,914.8333333333334,21,6,34.97626001157408,839,93.02373998842593,2233,264.47055944055944,286
6,178.99,3999,250.53421428571428,1168,280,700,1399,914.8333333333334,21,6,34.97630728009259,839,93.0236927199074,2233,264.47055944055944,286
7,178.99,3999,250.53421428571428,1168,280,700,1399,914.8333333333334,21,6,34.97635486111111,839,93.0236451388889,2233,264.47055944055944,286
8,178.99,3999,250.53421428571428,1168,280,700,1399,914.8333333333334,21,6,34.976393495370374,839,93.02360650462963,2233,264.47055944055944,286
9,178.99,3999,250.53421428571428,1168,280,700,1399,914.8333333333334,21,6,34.976858703703705,839,93.0231412962963,2233,264.47055944055944,286
10,178.99,3999,250.53421428571428,1168,280,700,1399,914.8333333333334,21,6,34.9773225,839,93.0226775,2233,264.47055944055944,286
11,178.99,3999,250.53421428571428,1168,280,700,1399,914.8333333333334,21,6,34.97778815972222,839,93.02221184027778,2233,264.4705594405594,286
12,178.99,3999,250.53421428571428,1168,280,700,1399,914.8333333333334,21,6,34.97824773148148,839,93.02175226851851,2233,264.4705594405594,286
13,179,3999,251.22075268817204,1164,279,700,1399,914.8333333333334,21,6,35.52837394675926,853,92.47162605324074,2219,265.1915438596491,285
14,179,3999,251.22075268817204,1164,279,700,1399,914.8333333333334,21,6,35.52959979166667,853,92.47040020833333,2219,265.1915438596491,285
15,179,3999,251.22075268817204,1164,279,700,1399,914.8333333333334,21,6,35.52964008101852,853,92.47035991898149,2219,265.1915438596491,285
16,179,3999,251.22075268817204,1164,279,700,1399,914.8333333333334,21,6,35.529688935185185,853,92.47031106481481,2219,265.1915438596491,285
16,179,3999,251.22075268817193,1164,279,700,1399,914.8333333333334,21,6,35.529710289351854,853,92.47028971064815,2219,265.1915438596491,285
17,179,3999,251.22075268817193,1164,279,700,1399,914.8333333333334,21,6,35.529762939814816,853,92.47023706018518,2219,265.1915438596491,285
17,179,3999,251.22075268817193,1164,279,700,1399,914.8333333333334,21,6,35.5297978125,853,92.4702021875,2219,265.1915438596491,285
19,179,3999,251.22075268817193,1164,279,700,1399,914.8333333333334,21,6,35.530154305555556,853,92.46984569444444,2219,265.1915438596491,285
20,179,3999,251.22075268817204,1164,279,700,1399,914.8333333333334,21,6,35.531452037037035,853,92.46854796296296,2219,265.191543859649,285
21,179,3999,251.22075268817204,1164,279,700,1399,914.8333333333334,21,6,35.534145162037035,853,92.46585483796297,2219,265.19154385964913,285
22,179,3999,251.22075268817204,1164,279,700,1399,914.8333333333334,21,6,35.534318738425924,853,92.46568126157408,2219,265.19154385964913,285
23,179,3999,251.22075268817204,1164,279,700,1399,914.8333333333334,21,6,35.535140613425924,853,92.46485938657408,2219,265.19154385964913,285
24,179,3999,251.22075268817193,1164,279,700,1399,914.8333333333334,21,6,35.53621005787037,853,92.46378994212962,2219,265.1915438596491,285
25,179,3999,251.27093189964157,1164,279,700,1399,914.8333333333334,21,6,35.540375833333336,853,92.45962416666667,2219,265.24066666666664,285
26,179,3999,251.27093189964145,1164,279,700,1399,914.8333333333334,21,6,35.544542094907406,853,92.45545790509259,2219,265.2406666666666,285
27,178,3999,250.84492857142854,1166,280,700,1399,914.8333333333334,21,6,35.73687087962963,858,92.26312912037037,2214,264.7747552447551,286
28,178,3999,250.84492857142854,1166,280,700,1399,914.8333333333334,21,6,35.73903113425926,858,92.26096886574074,2214,264.7747552447552,286
29,178,3999,250.84492857142854,1166,280,700,1399,914.8333333333334,21,6,35.74319915509259,858,92.2568008449074,2214,264.7747552447551,286
30,178,3999,250.84492857142857,1166,280,700,1399,914.8333333333334,21,6,35.74743333333333,858,92.25256666666667,2214,264.7747552447551,286
31,178,3999,250.84492857142857,1166,280,700,1399,914.8333333333334,21,6,35.751580439814816,858,92.24841956018518,2214,264.7747552447552,286
32,178,3999,250.84492857142857,1166,280,700,1399,914.8333333333334,21,6,35.755697905092596,858,92.24430209490741,2214,264.7747552447552,286
34,179,3999,245.2390942028985,1142,276,700,1399,914.8333333333334,21,6,36.82651895833333,884,91.17348104166666,2188,259.4857801418439,282
35,179,3999,245.9633699633699,1135,273,700,1399,914.8333333333334,21,6,36.99641366898148,888,91.00358633101852,2184,260.34767025089593,279
36,179,3999,245.9633699633699,1135,273,700,1399,914.8333333333334,21,6,37.00060229166667,888,90.99939770833333,2184,260.347670250896,279
