counter,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,150.9259663425926,3622,44.03236699074074,1057,SOLD OUT,SOLD OUT
1,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,150.93096225694444,3622,44.02737107638889,1057,SOLD OUT,SOLD OUT
2,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,150.93114646990742,3622,44.027186863425925,1057,SOLD OUT,SOLD OUT
3,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,150.93307283564815,3622,44.02526049768519,1057,SOLD OUT,SOLD OUT
4,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,150.93455157407408,3622,44.02378175925926,1057,SOLD OUT,SOLD OUT
5,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,150.9345933101852,3622,44.02374002314815,1057,SOLD OUT,SOLD OUT
6,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,150.93464010416668,3622,44.02369322916667,1057,SOLD OUT,SOLD OUT
7,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,150.93468810185186,3622,44.02364523148148,1057,SOLD OUT,SOLD OUT
8,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,150.93472700231482,3622,44.02360633101852,1057,SOLD OUT,SOLD OUT
9,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,150.9351922222222,3622,44.02314111111111,1057,SOLD OUT,SOLD OUT
10,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,150.93565572916665,3622,44.02267760416667,1057,SOLD OUT,SOLD OUT
11,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,150.93612173611112,3622,44.022211597222224,1057,SOLD OUT,SOLD OUT
12,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,150.9365812037037,3622,44.02175212962963,1057,SOLD OUT,SOLD OUT
13,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.4867075,3636,43.471625833333334,1043,SOLD OUT,SOLD OUT
14,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.48793289351852,3636,43.47040043981482,1043,SOLD OUT,SOLD OUT
15,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.48797336805555,3636,43.47035996527778,1043,SOLD OUT,SOLD OUT
16,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.4880249652778,3636,43.470308368055555,1043,SOLD OUT,SOLD OUT
16,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.4880435763889,3636,43.470289756944446,1043,SOLD OUT,SOLD OUT
17,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.48808680555555,3636,43.470246527777775,1043,SOLD OUT,SOLD OUT
17,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.48812798611112,3636,43.47020534722222,1043,SOLD OUT,SOLD OUT
19,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.48848761574075,3636,43.46984571759259,1043,SOLD OUT,SOLD OUT
20,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.48978546296297,3636,43.46854787037037,1043,SOLD OUT,SOLD OUT
21,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.49247837962963,3636,43.465854953703705,1043,SOLD OUT,SOLD OUT
22,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.49265224537038,3636,43.46568108796296,1043,SOLD OUT,SOLD OUT
23,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.49347407407407,3636,43.464859259259256,1043,SOLD OUT,SOLD OUT
24,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.49454333333333,3636,43.46379,1043,SOLD OUT,SOLD OUT
25,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.49870903935187,3636,43.459624293981484,1043,SOLD OUT,SOLD OUT
26,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.50287527777778,3636,43.45545805555555,1043,SOLD OUT,SOLD OUT
27,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.69520409722222,3641,43.26312923611111,1038,SOLD OUT,SOLD OUT
28,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.69736443287036,3641,43.26096890046296,1038,SOLD OUT,SOLD OUT
29,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.70153252314816,3641,43.25680081018518,1038,SOLD OUT,SOLD OUT
30,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.70576591435184,3641,43.25256741898148,1038,SOLD OUT,SOLD OUT
31,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.70992686342592,3641,43.24840646990741,1038,SOLD OUT,SOLD OUT
32,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,151.7140312037037,3641,43.24430212962963,1038,SOLD OUT,SOLD OUT
34,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,152.78485221064815,3667,42.17348112268518,1012,SOLD OUT,SOLD OUT
