counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,433.33,4150,557.1334006734007,1888,594,2499,9990,3506.3846153846152,37,13,34.967633032407406,839,93.0323669675926,2233,620.2969357495882,607
1,433.33,4150,557.1334006734006,1888,594,2499,9990,3506.3846153846152,37,13,34.972628738425925,839,93.02737126157407,2233,620.2969357495881,607
2,433.33,4150,557.1334006734006,1888,594,2499,9990,3506.3846153846152,37,13,34.97281280092593,839,93.02718719907408,2233,620.2969357495881,607
3,433.33,4150,557.1334006734006,1888,594,2499,9990,3506.3846153846152,37,13,34.97473954861111,839,93.02526045138889,2233,620.2969357495882,607
4,433.33,4150,557.1334006734006,1888,594,2499,9990,3506.3846153846152,37,13,34.97621834490741,839,93.02378165509259,2233,620.296935749588,607
5,433.33,4150,557.1334006734006,1888,594,2499,9990,3506.3846153846152,37,13,34.976259837962964,839,93.02374016203704,2233,620.296935749588,607
6,433.33,4150,557.1334006734006,1888,594,2499,9990,3506.3846153846152,37,13,34.976306828703706,839,93.0236931712963,2233,620.296935749588,607
7,433.33,4150,557.1334006734006,1888,594,2499,9990,3506.3846153846152,37,13,34.976354444444446,839,93.02364555555556,2233,620.296935749588,607
8,433.33,4150,557.1334006734006,1888,594,2499,9990,3506.3846153846152,37,13,34.97639371527778,839,93.02360628472222,2233,620.296935749588,607
9,433.33,4150,557.1334006734006,1888,594,2499,9990,3506.3846153846152,37,13,34.97685868055556,839,93.02314131944445,2233,620.296935749588,607
10,433.33,4150,557.1334006734006,1888,594,2499,9990,3506.3846153846152,37,13,34.97732232638889,839,93.02267767361111,2233,620.296935749588,607
11,433.33,4150,557.1334006734006,1888,594,2499,9990,3506.3846153846152,37,13,34.97778818287037,839,93.02221181712963,2233,620.2969357495881,607
12,433.33,4150,557.1334006734006,1888,594,2499,9990,3506.3846153846152,37,13,34.978247708333335,839,93.02175229166667,2233,620.2969357495881,607
13,430,4150,556.963613445378,1887,595,2499,9990,3506.3846153846152,37,13,35.528373888888886,853,92.4716261111111,2219,620.0268914473683,608
14,430,4150,556.963613445378,1887,595,2499,9990,3506.3846153846152,37,13,35.52959966435185,853,92.47040033564815,2219,620.0268914473683,608
15,430,4150,556.9636134453781,1887,595,2499,9990,3506.3846153846152,37,13,35.52966861111111,853,92.4703313888889,2219,620.0268914473684,608
16,430,4150,556.9636134453781,1887,595,2499,9990,3506.3846153846152,37,13,35.52968876157407,853,92.47031123842592,2219,620.0268914473684,608
16,430,4150,556.9636134453781,1887,595,2499,9990,3506.3846153846152,37,13,35.52971923611111,853,92.4702807638889,2219,620.0268914473684,608
17,430,4150,556.9636134453781,1887,595,2499,9990,3506.3846153846152,37,13,35.52975341435185,853,92.47024658564816,2219,620.0268914473684,608
17,430,4150,556.9636134453781,1887,595,2499,9990,3506.3846153846152,37,13,35.52979778935185,853,92.47020221064815,2219,620.0268914473684,608
19,430,4150,556.9636134453781,1887,595,2499,9990,3506.3846153846152,37,13,35.53015425925926,853,92.46984574074074,2219,620.0268914473684,608
20,430,4150,556.9636134453781,1887,595,2499,9990,3506.3846153846152,37,13,35.53145207175926,853,92.46854792824074,2219,620.0268914473684,608
