counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.49384964120371,2052,196.5061503587963,4716,355.5271428571428,7
2,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.49802412037037,2052,196.50197587962964,4716,355.5271428571428,7
3,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.50219032407408,2052,196.49780967592594,4716,355.5271428571428,7
53,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,87.62803275462963,2103,194.37196724537037,4665,SOLD OUT,SOLD OUT
4,270,427.7,344.83624999999995,37,8,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.51063372685185,2052,196.48936627314814,4716,344.83624999999995,8
5,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.68927435185185,2057,196.31072564814815,4711,355.5271428571428,7
10,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.69451342592592,2057,196.30548657407408,4711,355.5271428571428,7
11,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.6966615625,2057,196.3033384375,4711,355.5271428571428,7
12,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.70085363425926,2057,196.29914636574074,4711,355.5271428571428,7
13,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.7049999537037,2057,196.2950000462963,4711,355.5271428571428,7
14,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.70916123842592,2057,196.29083876157407,4711,355.5271428571428,7
16,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.71332855324074,2057,196.28667144675927,4711,355.5271428571428,7
25,299.99,427.7,355.5271428571428,36,7,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,85.74985403935185,2058,196.25014596064815,4710,355.5271428571428,7
34,230,427.7,326.1866666666667,38,9,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,86.78416001157407,2083,195.21583998842593,4685,326.1866666666667,9
36,230,427.7,326.1866666666667,38,9,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,86.95403167824074,2087,195.04596832175926,4681,326.1866666666667,9
37,230,427.7,326.1866666666667,38,9,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,86.95822157407407,2087,195.0417784259259,4681,326.1866666666667,9
38,230,427.7,326.1866666666667,38,9,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,86.96623596064815,2087,195.03376403935187,4681,326.1866666666667,9
