counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,267.98,9999,458.03861702127665,317,94,699,975,803.5744444444443,23,9,29.534253159722223,709,100.46574684027777,2411,488.23106796116514,103
2,267.98,9999,458.03861702127665,317,94,699,975,803.5744444444443,23,9,29.53444372685185,709,100.46555627314815,2411,488.23106796116514,103
3,267.98,9999,458.03861702127665,317,94,699,975,803.5744444444443,23,9,29.535527847222223,709,100.46447215277777,2411,488.23106796116514,103
4,267.98,9999,458.03861702127665,317,94,699,975,803.5744444444443,23,9,29.539690821759258,709,100.46030917824073,2411,488.2310679611653,103
5,267.98,9999,458.0386170212767,317,94,699,975,803.5744444444443,23,9,29.54385693287037,709,100.45614306712963,2411,488.23106796116514,103
6,267.98,9999,458.03861702127665,317,94,699,975,803.5744444444443,23,9,29.55230028935185,709,100.44769971064815,2411,488.2310679611653,103
7,255,9999,457.6663829787236,317,94,699,975,803.5744444444443,23,9,29.730941041666668,714,100.26905895833333,2406,487.89135922330104,103
12,255,9999,457.66638297872345,317,94,699,975,803.5744444444443,23,9,29.736178483796298,714,100.2638215162037,2406,487.89135922330115,103
13,255,9999,457.66638297872345,317,94,699,975,803.5744444444443,23,9,29.738328275462962,714,100.26167172453704,2406,487.89135922330115,103
14,255,9999,457.66638297872345,317,94,699,975,803.5744444444443,23,9,29.742501041666667,714,100.25749895833333,2406,487.89135922330104,103
15,255,9999,457.66638297872345,317,94,699,975,803.5744444444443,23,9,29.74666912037037,714,100.25333087962963,2406,487.89135922330104,103
16,255,9999,457.66638297872345,317,94,699,975,803.5744444444443,23,9,29.750827986111112,714,100.2491720138889,2406,487.89135922330104,103
18,255,9999,457.66638297872345,317,94,699,975,803.5744444444443,23,9,29.754995266203704,714,100.24500473379629,2406,487.89135922330115,103
27,255,9999,457.66638297872345,316,94,699,975,803.5744444444443,23,9,29.791520578703704,715,100.2084794212963,2405,487.89135922330104,103
36,268.99,9999,463.9939560439562,308,91,699,975,803.5744444444443,23,9,30.825826875,740,99.174173125,2380,494.55620000000016,100
38,268.99,9999,465.94944444444457,305,90,699,975,803.5744444444443,23,9,30.995698449074073,744,99.00430155092593,2376,496.64262626262644,99
39,268.99,9999,465.94944444444457,305,90,699,975,803.5744444444443,23,9,30.99988673611111,744,99.00011326388889,2376,496.64262626262644,99
40,268.99,9999,465.94944444444457,305,90,699,975,803.5744444444443,23,9,31.00785690972222,744,98.99214309027778,2376,496.64262626262644,99
41,268.99,9999,465.94944444444457,305,90,699,975,803.5744444444443,23,9,31.049510787037036,745,98.95048921296296,2375,496.64262626262644,99
