counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,110,5000,415.72340579710146,771,138,47.00339553240741,1128,82.99660446759259,1992,320.2790059982859,1167
2,110,5000,415.72340579710146,771,138,47.00781337962963,1128,82.99218662037038,1992,319.94319931565434,1169
3,110,5000,415.7234057971014,771,138,47.04505268518518,1129,82.95494731481482,1991,319.7714529914527,1170
4,110,5000,415.72340579710135,771,138,47.04949771990741,1129,82.95050228009259,1991,319.771452991453,1170
5,110,5000,415.72340579710135,771,138,47.09116712962963,1130,82.90883287037038,1990,319.25626598465453,1173
6,110,5000,415.72340579710135,771,138,47.132824479166665,1131,82.86717552083333,1989,319.25626598465453,1173
7,109,5000,396.28999999999996,791,147,48.61738100694444,1167,81.38261899305556,1953,317.19197635135106,1184
8,109,5000,396.28999999999996,791,147,48.65904653935185,1168,81.34095346064815,1952,317.1953547297295,1184
9,109,5000,396.29,791,147,48.70071414351852,1169,81.29928585648148,1951,317.5265482233499,1182
10,109,5000,396.20836734693876,791,147,48.74238508101852,1170,81.25761491898149,1950,317.50032148900135,1182
11,109,5000,396.20836734693864,791,147,48.7840503125,1171,81.2159496875,1949,317.3122400676243,1183
12,109,5000,396.20836734693876,791,147,48.825714409722224,1172,81.17428559027778,1948,317.5265482233499,1182
13,109,5000,397.095,788,146,48.86741210648148,1173,81.13258789351852,1947,317.1449493243241,1184
14,109,5000,397.09499999999997,788,146,48.9090487962963,1174,81.09095120370371,1946,317.32427726119994,1183
15,109,5000,397.09499999999997,788,146,48.95071570601852,1175,81.04928429398149,1945,317.32005071851194,1183
16,109,5000,397.09499999999997,788,146,48.99238266203704,1176,81.00761733796297,1944,317.1559290540537,1184
17,109,5000,397.095,788,146,49.034048275462965,1177,80.96595172453704,1943,317.15592905405356,1184
18,109,5000,397.095,788,146,49.07577273148148,1178,80.92422726851852,1942,317.15592905405356,1184
19,109,5000,397.09499999999997,788,146,49.117448206018516,1179,80.88255179398148,1941,317.15592905405373,1184
20,109,5000,397.09499999999997,788,146,49.15907439814815,1180,80.84092560185185,1940,317.15592905405373,1184
21,109,5000,397.0949999999999,788,146,49.20073042824074,1181,80.79926957175925,1939,317.15592905405384,1184
22,109,5000,397.09499999999997,788,146,49.24240800925926,1182,80.75759199074074,1938,317.15592905405384,1184
23,109,5000,397.09499999999997,788,146,49.28406577546296,1183,80.71593422453704,1937,317.1542398648645,1184
24,109,5000,397.09499999999997,788,146,49.32580317129629,1184,80.6741968287037,1936,317.15423986486445,1184
25,109,5000,397.09499999999997,788,146,49.367405219907404,1185,80.63259478009259,1935,317.5335194585445,1182
26,109,5000,397.095,788,146,49.40906949074074,1186,80.59093050925927,1934,316.6185822784805,1185
27,109,5000,397.0949999999999,788,146,49.450743125,1187,80.549256875,1933,316.77788851351323,1184
