counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,192.77,1500,369.2571428571429,260,63,450,600,557.8779999999999,18,5,29.53425318287037,709,100.46574681712963,2411,383.1263235294119,68
2,192.77,1500,369.2571428571429,260,63,450,600,557.8779999999999,18,5,29.53444403935185,709,100.46555596064815,2411,383.1263235294119,68
3,192.77,1500,369.2571428571429,260,63,450,600,557.8779999999999,18,5,29.535511886574074,709,100.46448811342593,2411,383.1263235294119,68
4,192.77,1500,369.2571428571429,260,63,450,600,557.8779999999999,18,5,29.53969097222222,709,100.46030902777778,2411,383.1263235294119,68
5,192.77,1500,369.2571428571429,260,63,450,600,557.8779999999999,18,5,29.54385707175926,709,100.45614292824074,2411,383.1263235294119,68
6,192.77,1500,369.2571428571429,260,63,450,600,557.8779999999999,18,5,29.552300127314815,709,100.44769987268519,2411,383.1263235294119,68
7,192.77,1500,369.2571428571429,259,63,450,600,557.8779999999999,18,5,29.730942256944445,714,100.26905774305555,2406,383.1263235294119,68
12,192.77,1500,369.2571428571429,259,63,450,600,557.8779999999999,18,5,29.7361784375,714,100.2638215625,2406,383.1263235294119,68
13,192.77,1500,369.2571428571429,259,63,450,600,557.8779999999999,18,5,29.73832837962963,714,100.26167162037036,2406,383.1263235294119,68
14,192.77,1500,369.2571428571429,259,63,450,600,557.8779999999999,18,5,29.742500902777778,714,100.25749909722222,2406,383.1263235294119,68
15,192.77,1500,369.2571428571429,259,63,450,600,557.8779999999999,18,5,29.746666550925926,714,100.25333344907408,2406,383.1263235294119,68
16,192.77,1500,369.2571428571429,259,63,450,600,557.8779999999999,18,5,29.750828055555555,714,100.24917194444444,2406,383.1263235294119,68
18,192.77,1500,369.2571428571429,259,63,450,600,557.8779999999999,18,5,29.754995243055557,714,100.24500475694444,2406,383.1263235294119,68
27,192.77,1500,369.2571428571429,259,63,450,600,557.8779999999999,18,5,29.791520636574074,715,100.20847936342592,2405,383.1263235294119,68
36,192.77,1500,370.7370967741936,264,62,554.4,600,584.8475,16,4,30.82582675925926,740,99.17417324074074,2380,383.7134848484849,66
38,192.77,1500,370.7370967741936,264,62,554.4,600,584.8475,16,4,30.995698391203703,744,99.0043016087963,2376,383.7134848484849,66
