counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,324,3999.01,445.0335555555556,315,135,675,1169,952.3571428571429,28,14,150.92596614583334,3622,44.0323671875,1057,492.70154362416105,149
1,324,3999.01,445.03355555555567,315,135,675,1169,952.3571428571429,28,14,150.93096210648147,3622,44.027371226851855,1057,492.70154362416105,149
2,324,3999.01,445.03355555555567,315,135,675,1169,952.3571428571429,28,14,150.93114631944445,3622,44.02718701388889,1057,492.70154362416105,149
3,324,3999.01,445.03355555555567,315,135,675,1169,952.3571428571429,28,14,150.93307274305556,3622,44.025260590277774,1057,492.70154362416105,149
4,324,3999.01,445.03355555555567,315,135,675,1169,952.3571428571429,28,14,150.93455177083334,3622,44.0237815625,1057,492.70154362416105,149
5,324,3999.01,445.03355555555567,315,135,675,1169,952.3571428571429,28,14,150.93460578703704,3622,44.0237275462963,1057,492.70154362416105,149
6,324,3999.01,445.03355555555567,315,135,675,1169,952.3571428571429,28,14,150.93464008101853,3622,44.023693252314814,1057,492.70154362416105,149
7,324,3999.01,445.03355555555567,315,135,675,1169,952.3571428571429,28,14,150.93468814814815,3622,44.02364518518519,1057,492.70154362416105,149
8,324,3999.01,445.03355555555567,315,135,675,1169,952.3571428571429,28,14,150.93472702546296,3622,44.023606307870374,1057,492.70154362416105,149
9,324,3999.01,445.03355555555567,315,135,675,1169,952.3571428571429,28,14,150.93519207175925,3622,44.023141261574075,1057,492.70154362416105,149
10,324,3999.01,445.03355555555567,315,135,675,1169,952.3571428571429,28,14,150.9356557523148,3622,44.02267758101852,1057,492.70154362416105,149
11,324,3999.01,445.0335555555556,315,135,675,1169,952.3571428571429,28,14,150.9361215625,3622,44.02221177083333,1057,492.70154362416105,149
12,324,3999.01,445.0335555555556,315,135,675,1169,952.3571428571429,28,14,150.93658114583334,3622,44.0217521875,1057,492.70154362416105,149
13,324.18,3999.01,444.8631851851853,315,135,675,1169,950.7857142857143,28,14,151.48670751157408,3636,43.47162582175926,1043,492.39953020134226,149
14,324.18,3999.01,444.8631851851853,315,135,675,1169,950.7857142857143,28,14,151.48793310185187,3636,43.470400231481484,1043,492.39953020134226,149
15,324.18,3999.01,444.8631851851853,315,135,675,1169,950.7857142857143,28,14,151.48797299768518,3636,43.470360335648145,1043,492.39953020134226,149
16,324.18,3999.01,444.8631851851853,315,135,675,1169,950.7857142857143,28,14,151.48802506944443,3636,43.47030826388889,1043,492.39953020134226,149
16,324.18,3999.01,444.8631851851853,315,135,675,1169,950.7857142857143,28,14,151.48803913194445,3636,43.47029420138889,1043,492.39953020134226,149
17,324.18,3999.01,444.8631851851853,315,135,675,1169,950.7857142857143,28,14,151.48808664351853,3636,43.470246689814815,1043,492.39953020134226,149
17,324.18,3999.01,444.8631851851853,315,135,675,1169,950.7857142857143,28,14,151.48812655092593,3636,43.47020678240741,1043,492.39953020134226,149
19,324.18,3999.01,444.8631851851853,315,135,675,1169,950.7857142857143,28,14,151.48848753472222,3636,43.46984579861111,1043,492.39953020134226,149
20,324.18,3999.01,444.8631851851852,315,135,675,1169,950.7857142857143,28,14,151.48978527777777,3636,43.46854805555556,1043,492.39953020134226,149
21,324.18,3999.01,445.2826119402986,313,134,675,1169,950.7857142857143,28,14,151.4924784375,3636,43.46585489583333,1043,493.10047297297297,148
22,324.18,3999.01,445.2826119402986,313,134,675,1169,950.7857142857143,28,14,151.49265233796297,3636,43.46568099537037,1043,493.10047297297297,148
23,324.18,3999.01,445.2826119402986,313,134,675,1169,950.7857142857143,28,14,151.4934739814815,3636,43.46485935185185,1043,493.10047297297297,148
24,324.18,3999.01,445.2826119402985,313,134,675,1169,950.7857142857143,28,14,151.49454336805556,3636,43.463789965277776,1043,493.10047297297285,148
25,324.18,3999.01,445.2826119402985,313,134,675,1169,950.7857142857143,28,14,151.49870900462963,3636,43.459624328703704,1043,493.10047297297285,148
26,324.18,3999.01,445.2826119402986,313,134,675,1169,950.7857142857143,28,14,151.5028753935185,3636,43.45545793981481,1043,493.10047297297297,148
27,324.18,3999.01,444.57045112781964,311,133,500,1169,920.7333333333333,30,15,151.69520416666666,3641,43.263129166666666,1038,492.8302027027026,148
28,324.18,3999.01,444.5704511278196,311,133,500,1169,920.7333333333333,30,15,151.69736450231483,3641,43.260968831018516,1038,492.8302027027026,148
29,324.18,3999.01,444.5704511278196,311,133,500,1169,920.7333333333333,30,15,151.70153256944445,3641,43.25680076388889,1038,492.8302027027026,148
30,324.18,3999.01,444.57045112781964,311,133,500,1169,920.7333333333333,30,15,151.70598381944444,3641,43.25234951388889,1038,492.8302027027026,148
31,324.18,3999.01,444.5704511278196,311,133,500,1169,920.7333333333333,30,15,151.70991383101853,3641,43.24841950231482,1038,492.83020270270265,148
32,324.18,3999.01,444.57045112781964,311,133,500,1169,920.7333333333333,30,15,151.71403118055557,3641,43.24430215277778,1038,492.8302027027026,148
34,315,3999.01,441.81705882352946,314,136,675,1169,950.7857142857143,28,14,152.78485233796297,3667,42.17348099537037,1012,489.32079999999985,150
35,324.18,3999.01,442.7564444444445,313,135,675,1169,950.7857142857143,28,14,152.95474715277777,3671,42.00358618055556,1008,490.4907382550334,149
36,324.18,3999.01,442.75644444444447,313,135,675,1169,950.7857142857143,28,14,152.95891209490742,3671,41.999421238425924,1008,490.4907382550334,149
37,324.18,3999.01,442.75644444444447,313,135,675,1169,950.7857142857143,28,14,152.96688743055554,3671,41.99144590277778,1008,490.49073825503353,149
38,324,3999.01,442.71940740740746,313,135,675,1169,950.7857142857143,28,14,153.0085559837963,3672,41.94977734953704,1007,490.45718120805356,149
39,324,3999.01,442.71940740740746,313,135,675,1169,950.7857142857143,28,14,153.05022140046296,3673,41.90811193287037,1006,490.45718120805356,149
40,324,3999.01,442.71940740740746,313,135,675,1169,950.7857142857143,28,14,153.09189140046297,3674,41.86644193287037,1005,490.45718120805367,149
41,324,3999.01,442.71940740740746,313,135,675,1169,950.7857142857143,28,14,153.1335558912037,3675,41.82477744212963,1004,490.45718120805356,149
42,324,3999.01,442.71940740740746,313,135,675,1169,950.7857142857143,28,14,153.17521541666667,3676,41.78311791666667,1003,490.45718120805356,149
43,324,3999.01,442.7194074074074,313,135,675,1169,950.7857142857143,28,14,153.2168891087963,3677,41.741444224537034,1002,490.45718120805367,149
44,324,3999.01,442.71940740740746,313,135,675,1169,950.7857142857143,28,14,153.25857087962962,3678,41.699762453703705,1001,490.45718120805367,149
45,324,3999.01,442.71940740740746,313,135,675,1169,950.7857142857143,28,14,153.30022034722222,3679,41.658112986111114,1000,490.45718120805367,149
46,324,3999.01,442.71940740740746,313,135,675,1169,934.0666666666667,30,15,153.4643178935185,3683,41.49401543981482,996,491.8541333333333,150
47,324,3999.01,441.47532846715336,318,137,675,1169,934.0666666666667,30,15,153.50603592592591,3684,41.45229740740741,995,490.08631578947353,152
