counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,135,400,190.56148148148148,80,27,385,469,433.25,11,4,65.92596607638889,1582,38.03236725694445,913,221.87612903225806,31
1,135,400,190.56148148148148,80,27,385,469,433.25,11,4,65.93096212962963,1582,38.0273712037037,913,221.87612903225806,31
2,135,400,190.56148148148148,80,27,385,469,433.25,11,4,65.93114628472222,1582,38.02718704861111,913,221.87612903225806,31
3,135,400,190.56148148148148,80,27,385,469,433.25,11,4,65.9330728587963,1582,38.025260474537035,913,221.87612903225806,31
4,135,400,190.56148148148148,80,27,385,469,433.25,11,4,65.93455185185185,1582,38.02378148148148,913,221.87612903225806,31
5,135,400,190.56148148148148,80,27,385,469,433.25,11,4,65.93460581018519,1582,38.023727523148146,913,221.87612903225806,31
6,135,400,190.56148148148148,80,27,385,469,433.25,11,4,65.93464050925925,1582,38.023692824074075,913,221.87612903225806,31
7,135,400,190.56148148148148,80,27,385,469,433.25,11,4,65.9346877199074,1582,38.02364561342593,913,221.87612903225806,31
8,135,400,190.56148148148148,80,27,385,469,433.25,11,4,65.93472667824074,1582,38.02360665509259,913,221.87612903225806,31
9,135,400,190.56148148148148,80,27,385,469,433.25,11,4,65.9351920949074,1582,38.02314123842593,913,221.87612903225806,31
10,135,400,190.56148148148148,80,27,385,469,433.25,11,4,65.93565589120371,1582,38.02267744212963,913,221.87612903225806,31
11,135,400,190.56148148148148,80,27,385,469,433.25,11,4,65.93612164351852,1582,38.02221168981482,913,221.87612903225806,31
12,135,400,190.56148148148148,80,27,385,469,433.25,11,4,65.93658092592592,1582,38.021752407407405,913,221.87612903225806,31
13,192.77,1500,369.2571428571429,260,63,450,600,557.8779999999999,18,5,66.48670711805556,1596,37.47162621527778,899,383.1263235294119,68
13,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.48670733796297,1596,37.47162599537037,899,221.87612903225806,31
14,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.48797355324074,1596,37.47035978009259,899,221.87612903225806,31
14,192.77,1500,369.2571428571429,260,63,450,600,557.8779999999999,18,5,66.48797700231482,1596,37.47035633101852,899,383.1263235294119,68
14,192.77,1500,369.2571428571429,260,63,450,600,557.8779999999999,18,5,66.48798035879629,1596,37.470352974537036,899,383.1263235294119,68
14,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.48800200231481,1596,37.47033133101852,899,221.87612903225806,31
15,192.77,1500,369.2571428571429,260,63,450,600,557.8779999999999,18,5,66.48802585648149,1596,37.47030747685185,899,383.1263235294119,68
15,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.48802540509259,1596,37.47030792824074,899,221.87612903225806,31
16,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.48806287037037,1596,37.470270462962965,899,221.87612903225806,31
16,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.48808686342592,1596,37.47024646990741,899,221.87612903225806,31
16,192.77,1500,369.2571428571429,260,63,450,600,557.8779999999999,18,5,66.48808109953704,1596,37.470252233796295,899,383.1263235294119,68
16,192.77,1500,369.2571428571429,260,63,450,600,557.8779999999999,18,5,66.4880940162037,1596,37.47023931712963,899,383.1263235294119,68
17,192.77,1500,369.2571428571429,260,63,450,600,557.8779999999999,18,5,66.48813101851852,1596,37.47020231481481,899,383.1263235294119,68
17,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.48813099537037,1596,37.47020233796297,899,221.87612903225806,31
19,192.77,1500,369.2571428571429,260,63,450,600,557.8779999999999,18,5,66.48918905092593,1596,37.469144282407406,899,383.1263235294119,68
19,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.48918928240741,1596,37.46914405092593,899,221.87612903225806,31
20,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.49048920138888,1596,37.467844131944446,899,221.87612903225806,31
21,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.49241079861112,1596,37.465922534722225,899,221.87612903225806,31
22,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.49258376157407,1596,37.46574957175926,899,221.87612903225806,31
23,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.49277701388888,1596,37.465556319444445,899,221.87612903225806,31
24,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.4938496875,1596,37.46448364583333,899,221.87612903225806,31
25,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.49802424768518,1596,37.46030908564815,899,221.87612903225806,31
26,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.50219019675926,1596,37.45614313657408,899,221.87612903225806,31
27,135,400,190.56148148148148,80,27,385,469,433.25,11,4,66.51063349537037,1596,37.447699837962965,899,221.87612903225806,31
28,139,400,192.69846153846154,79,26,385,469,433.25,11,4,66.68927445601852,1601,37.26905887731481,894,224.772,30
33,139,400,192.69846153846154,79,26,385,469,433.25,11,4,66.69451209490741,1601,37.263821238425926,894,224.772,30
34,139,400,192.69846153846154,79,26,385,469,433.25,11,4,66.69666175925926,1601,37.26167157407407,894,224.772,30
35,139,400,192.69846153846154,79,26,385,469,433.25,11,4,66.70083428240741,1601,37.25749905092593,894,224.772,30
36,139,400,192.69846153846154,79,26,385,469,433.25,11,4,66.7049998611111,1601,37.253333472222224,894,224.772,30
37,139,400,192.69846153846154,79,26,385,469,433.25,11,4,66.70916126157407,1601,37.24917207175926,894,224.772,30
39,139,400,192.69846153846154,79,26,385,469,433.25,11,4,66.71332849537038,1601,37.245004837962966,894,224.772,30
48,139,400,192.69846153846154,79,26,385,469,433.25,11,4,66.74985393518519,1602,37.20847939814815,893,224.772,30
57,140,400,192.73692307692306,79,26,385,469,433.25,11,4,67.78416027777777,1627,36.174173055555556,868,224.80533333333332,30
59,140,400,192.73692307692306,79,26,385,469,433.25,11,4,67.9540320949074,1631,36.004301238425924,864,224.80533333333332,30
60,140,400,192.73692307692306,79,26,385,469,433.25,11,4,67.95822820601852,1631,36.00010512731482,864,224.80533333333332,30
61,140,400,192.73692307692306,79,26,385,469,433.25,11,4,67.96620229166666,1631,35.99213104166667,864,224.80533333333332,30
62,140,400,192.73692307692306,79,26,385,469,433.25,11,4,68.00789194444444,1632,35.95044138888889,863,224.80533333333332,30
63,140,400,192.73692307692306,79,26,385,469,433.25,11,4,68.0495272337963,1633,35.90880609953704,862,224.80533333333332,30
64,140,400,192.73692307692306,79,26,385,469,433.25,11,4,68.09120554398149,1634,35.867127789351855,861,224.80533333333332,30
66,140,400,192.73692307692306,79,26,385,469,433.25,11,4,68.13286417824074,1635,35.82546915509259,860,224.80533333333332,30
67,140,400,192.73692307692306,79,26,385,469,433.25,11,4,68.17453395833333,1636,35.783799375,859,224.80533333333332,30
68,140,400,192.73692307692306,79,26,385,469,433.25,11,4,68.2161821875,1637,35.74215114583333,858,224.80533333333332,30
69,140,400,192.73692307692306,79,26,385,469,433.25,11,4,68.25785753472222,1638,35.70047579861111,857,224.80533333333332,30
70,140,400,192.73692307692306,79,26,385,469,433.25,11,4,68.29951783564815,1639,35.65881549768518,856,224.80533333333332,30
72,140,400,192.73692307692306,79,26,385,469,433.25,11,4,68.463613125,1643,35.494720208333334,852,224.80533333333332,30
73,140,400,194.6464,78,25,386,470,434.25,11,4,68.50529509259259,1644,35.45303824074074,851,227.6951724137931,29
75,140,400,194.6464,78,25,386,470,434.25,11,4,68.627864375,1647,35.330468958333334,848,227.6951724137931,29
76,140,400,194.6464,78,25,386,470,434.25,11,4,68.62803284722222,1647,35.33030048611111,848,227.6951724137931,29
77,140,400,194.6464,78,25,386,470,434.25,11,4,68.62819342592593,1647,35.33013990740741,848,227.6951724137931,29
79,140,400,194.6464,78,25,386,470,434.25,11,4,68.6607194675926,1648,35.29761386574074,847,227.6951724137931,29
80,140,400,194.6464,78,25,386,470,434.25,11,4,68.66421446759259,1648,35.29411886574074,847,227.6951724137931,29
81,140,400,194.6464,78,25,386,470,434.25,11,4,68.70589770833334,1649,35.252435625,846,227.6951724137931,29
82,140,400,194.6464,78,25,386,470,434.25,11,4,68.74756402777778,1650,35.21076930555556,845,227.6951724137931,29
83,140,400,194.6464,78,25,386,470,434.25,11,4,68.78923061342593,1651,35.16910271990741,844,227.6951724137931,29
84,140,400,194.6464,78,25,386,470,434.25,11,4,68.83090040509259,1652,35.127432928240744,843,227.6951724137931,29
86,140,400,194.6464,78,25,386,470,434.25,11,4,68.8725709375,1653,35.085762395833335,842,227.6951724137931,29
87,140,400,194.6464,78,25,386,470,434.25,11,4,68.91424188657408,1654,35.04409144675926,841,227.6951724137931,29
88,140,400,194.6464,78,25,386,470,434.25,11,4,68.95589905092592,1655,35.00243428240741,840,227.6951724137931,29
89,140,400,194.6464,78,25,386,470,434.25,11,4,68.99762989583333,1656,34.9607034375,839,227.6951724137931,29
90,140,400,194.6464,78,25,386,470,434.25,11,4,69.03925314814815,1657,34.91908018518519,838,227.6951724137931,29
92,140,400,194.6464,78,25,386,470,434.25,11,4,69.08092680555555,1658,34.87740652777778,837,227.6951724137931,29
93,140,400,194.6464,78,25,386,470,434.25,11,4,69.08123550925926,1658,34.87709782407408,837,227.6951724137931,29
