counter,GAmin,GAmax,GAavg,GAamount,GAnumListings,VIPmin,VIPmax,VIPavg,VIPamount,VIPnumListings,daysSinceOnSale,hoursSinceOnSale,daysTillFest,hoursTillFest,totalAverage,totalListings
1,435,10000,615.6660946745565,1069,338,1025.1,1999,1244.2639130434782,90,23,29.534253298611112,709,100.4657467013889,2411,655.7152631578949,361
2,435,10000,615.6660946745565,1069,338,1025.1,1999,1244.2639130434782,90,23,29.534457395833332,709,100.46554260416667,2411,655.7152631578949,361
3,435,10000,615.6660946745565,1069,338,1025.1,1999,1244.2639130434782,90,23,29.535512083333334,709,100.46448791666667,2411,655.7152631578949,361
4,435,10000,615.6660946745565,1069,338,1025.1,1999,1244.2639130434782,90,23,29.53969084490741,709,100.46030915509259,2411,655.7152631578949,361
5,435,10000,615.1449557522126,1073,339,1025.1,1999,1244.2639130434782,90,23,29.543859525462963,709,100.45614047453704,2411,655.1166022099449,362
6,435,10000,615.1449557522126,1073,339,1025.1,1999,1244.2639130434782,90,23,29.55230019675926,709,100.44769980324074,2411,655.1166022099449,362
7,435,10000,615.7461764705885,1074,340,1025.1,1999,1244.2639130434782,90,23,29.730941087962965,714,100.26905891203704,2406,655.5696143250691,363
12,435,10000,615.6579411764708,1074,340,1025.1,1999,1244.2639130434782,90,23,29.73618017361111,714,100.26381982638888,2406,655.4869696969698,363
13,435,10000,615.5873529411766,1074,340,1025.1,1999,1244.2639130434782,90,23,29.738337349537037,714,100.26166265046297,2406,655.4208539944906,363
14,435,10000,615.5873529411767,1074,340,1025.1,1999,1244.2639130434782,90,23,29.74250099537037,714,100.25749900462964,2406,655.4208539944905,363
15,435,10000,615.5873529411767,1074,340,1025.1,1999,1244.2639130434782,90,23,29.746666655092593,714,100.2533333449074,2406,655.4208539944906,363
16,435,10000,615.5873529411767,1072,340,1025.1,1999,1244.2639130434782,90,23,29.750828113425925,714,100.24917188657408,2406,655.4208539944906,363
18,435,10000,615.5873529411767,1072,340,1025.1,1999,1244.2639130434782,90,23,29.754995104166667,714,100.24500489583333,2406,655.4208539944907,363
27,435,10000,615.587323529412,1072,340,1010,1999,1234.5029166666666,92,24,29.791520752314813,715,100.20847924768519,2405,656.3949450549452,364
36,414,10000,609.5128735632186,1095,348,1010,1999,1234.5029166666666,92,24,30.825826782407407,740,99.1741732175926,2380,649.8348118279572,372
38,415,10000,610.0301729106629,1092,347,1010,1999,1234.5029166666666,92,24,30.995702592592593,744,99.0042974074074,2376,650.4273315363884,371
39,415,10000,610.0301729106629,1092,347,1010,1999,1234.5029166666666,92,24,30.999894733796296,744,99.0001052662037,2376,650.4273315363884,371
40,415,10000,610.0301729106629,1092,347,1010,1999,1234.5029166666666,92,24,31.007857083333334,744,98.99214291666667,2376,650.4273315363884,371
41,415,10000,609.9293083573489,1088,347,1010,1999,1234.5029166666666,92,24,31.04951054398148,745,98.95048945601852,2375,650.3329919137467,371
42,415,10000,610.4378034682082,1087,346,1010,1999,1234.5029166666666,92,24,31.09118460648148,746,98.90881539351852,2374,650.9177027027029,370
43,415,10000,610.4378034682082,1087,346,1010,1999,1234.5029166666666,92,24,31.132870208333333,747,98.86712979166667,2373,650.9177027027029,370
45,415,10000,610.4378034682082,1087,346,1010,1999,1234.5029166666666,92,24,31.17451866898148,748,98.82548133101852,2372,650.9177027027029,370
46,415,10000,610.4378034682082,1087,346,1010,1999,1234.5029166666666,92,24,31.216200011574074,749,98.78379998842593,2371,650.9177027027029,370
47,415,10000,610.4378034682082,1087,346,1010,1999,1234.5029166666666,92,24,31.257849247685186,750,98.74215075231481,2370,650.9177027027029,370
48,415,10000,610.9492173913045,1086,345,1010,1999,1234.5029166666666,92,24,31.29952371527778,751,98.70047628472223,2369,651.5055555555558,369
49,415,10000,610.9492173913045,1086,345,1010,1999,1234.5029166666666,92,24,31.341183599537036,752,98.65881640046297,2368,651.5055555555558,369
51,415,10000,611.7565014577261,1084,343,1010,1999,1234.5029166666666,92,24,31.505279328703704,756,98.49472067129629,2364,652.4810626702999,367
